snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status,available_qty,valid_values,quarantine_reason
2026-04-01,STR0003,SKU_BAD,184.0,44,74,30,30,Stockout,140.0,True,Missing product
2026-04-01,STR0005,SKU_BAD,488.0,4,72,50,20,Low,484.0,True,Missing product
2026-04-01,STR0008,SKU_BAD,399.0,14,155,20,5,Overstock,385.0,True,Missing product
2026-04-01,STR0014,SKU_BAD,179.0,11,75,20,30,Healthy,168.0,True,Missing product
2026-04-01,STR0015,SKU_BAD,368.0,17,130,10,30,Stockout,351.0,True,Missing product
2026-04-01,STR0017,SKU_BAD,217.0,56,160,30,30,Low,161.0,True,Missing product
2026-04-01,STR0023,SKU_BAD,39.0,4,190,10,20,Low,35.0,True,Missing product
2026-04-01,STR0025,SKU_BAD,30.0,28,106,10,10,Healthy,2.0,True,Missing product
2026-04-15,STR0007,SKU_BAD,43.0,22,32,10,5,Low,21.0,True,Missing product
2026-04-15,STR0010,SKU_BAD,409.0,41,11,20,10,Low,368.0,True,Missing product
2026-04-15,STR0017,SKU_BAD,29.0,5,111,30,10,Overstock,24.0,True,Missing product
2026-04-15,STR0019,SKU_BAD,39.0,4,95,75,20,Stockout,35.0,True,Missing product
2026-04-15,STR0021,SKU_BAD,115.0,33,150,20,30,Low,82.0,True,Missing product
2026-05-01,STR0002,SKU_BAD,205.0,8,185,20,5,Healthy,197.0,True,Missing product
2026-05-01,STR0006,SKU_BAD,209.0,32,7,50,5,Healthy,177.0,True,Missing product
2026-05-01,STR0009,SKU_BAD,210.0,3,13,10,5,Low,207.0,True,Missing product
2026-05-01,STR0011,SKU_BAD,396.0,13,129,30,30,Healthy,383.0,True,Missing product
2026-05-01,STR0016,SKU_BAD,375.0,50,53,75,30,Overstock,325.0,True,Missing product
2026-05-01,STR0017,SKU_BAD,141.0,42,82,20,5,Healthy,99.0,True,Missing product
2026-05-01,STR0024,SKU_BAD,46.0,40,95,10,5,Stockout,6.0,True,Missing product
2026-05-15,STR0003,SKU_BAD,342.0,1,182,20,30,Healthy,341.0,True,Missing product
2026-05-15,STR0004,SKU_BAD,456.0,3,171,30,20,Stockout,453.0,True,Missing product
2026-05-15,STR0008,SKU_BAD,96.0,22,36,20,30,Stockout,74.0,True,Missing product
2026-05-15,STR0013,SKU_BAD,24.0,16,14,50,30,Healthy,8.0,True,Missing product
2026-05-15,STR0016,SKU_BAD,375.0,27,109,10,5,Overstock,348.0,True,Missing product
2026-05-15,STR0019,SKU_BAD,404.0,12,39,50,10,Overstock,392.0,True,Missing product
2026-05-15,STR0025,SKU_BAD,445.0,43,200,75,30,Healthy,402.0,True,Missing product
2026-05-31,STR0002,SKU_BAD,125.0,53,87,20,5,Low,72.0,True,Missing product
2026-05-31,STR0012,SKU_BAD,37.0,12,162,50,5,Healthy,25.0,True,Missing product
2026-05-31,STR0013,SKU_BAD,24.0,15,174,30,5,Healthy,9.0,True,Missing product
2026-05-31,STR0017,SKU_BAD,156.0,43,16,10,5,Healthy,113.0,True,Missing product
2026-05-31,STR0024,SKU_BAD,293.0,9,2,30,30,Healthy,284.0,True,Missing product
