transaction_line_id,transaction_id,line_number,product_id,quantity,unit_price,regular_price,promotion_id,coupon_amount,tax_amount,line_status,valid_values,quarantine_reason
TL0000000001,TXN000000001,1,SKU0000410,,249.43,249.43,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000008,TXN000000003,2,SKU0000130,,583.42,686.38,,0.0,52.51,Sold,False,Bad quantity or unit price
TL0000000012,TXN000000004,1,SKU0000559,,394.3,492.88,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000015,TXN000000004,4,SKU0000132,-1.0,72.62,72.62,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000019,TXN000000006,2,SKU0000300,,574.45,604.68,,0.0,28.72,Sold,False,Bad quantity or unit price
TL0000000023,TXN000000007,2,SKU0000079,-1.0,633.93,745.8,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000026,TXN000000007,5,SKU0000089,-1.0,137.95,137.95,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000032,TXN000000008,6,SKU0000053,-1.0,249.23,276.92,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000000036,TXN000000009,4,SKU0000262,,82.94,103.67,,0.0,4.15,Sold,False,Bad quantity or unit price
TL0000000037,TXN000000010,1,SKU0000528,-1.0,58.66,65.18,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000043,TXN000000014,1,SKU0000028,,320.01,320.01,,0.0,22.4,Sold,False,Bad quantity or unit price
TL0000000047,TXN000000014,5,SKU0000308,-1.0,497.51,497.51,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000057,TXN000000020,2,SKU0000402,-1.0,295.86,369.82,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000058,TXN000000020,3,SKU0000347,,234.91,261.01,,5.0,16.44,Sold,False,Bad quantity or unit price
TL0000000064,TXN000000021,6,SKU0000095,,292.64,325.16,,0.0,26.34,Sold,False,Bad quantity or unit price
TL0000000065,TXN000000022,1,SKU0000266,,214.51,238.34,,0.0,19.31,Sold,False,Bad quantity or unit price
TL0000000069,TXN000000025,2,SKU0000070,,263.83,293.15,,2.0,23.75,Sold,False,Bad quantity or unit price
TL0000000077,TXN000000028,1,SKU0000487,,2.96,3.12,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000090,TXN000000032,6,SKU0000388,,570.59,600.62,,0.0,51.35,Sold,False,Bad quantity or unit price
TL0000000094,TXN000000034,2,SKU0000372,,184.18,184.18,,1.0,12.89,Sold,False,Bad quantity or unit price
TL0000000103,TXN000000037,1,SKU0000024,,279.8,349.75,,2.0,13.99,Sold,False,Bad quantity or unit price
TL0000000111,TXN000000039,5,SKU0000253,-1.0,740.3,779.26,,1.0,0.0,Voided,False,Bad quantity or unit price
TL0000000114,TXN000000040,2,SKU0000272,,93.35,93.35,,0.0,8.4,Sold,False,Bad quantity or unit price
TL0000000123,TXN000000043,1,SKU0000256,-1.0,551.38,580.4,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000127,TXN000000044,2,SKU0000372,,165.76,184.18,,0.0,8.29,Sold,False,Bad quantity or unit price
TL0000000133,TXN000000045,2,SKU0000411,,469.17,551.97,,0.0,32.84,Voided,False,Bad quantity or unit price
TL0000000135,TXN000000046,1,SKU0000492,,571.92,571.92,PRM00041,0.0,51.47,Sold,False,Bad quantity or unit price
