transaction_line_id,transaction_id,line_number,product_id,quantity,unit_price,regular_price,promotion_id,coupon_amount,tax_amount,line_status,valid_values,quarantine_reason
TL0000000185,TXN000000060,1,SKU_UNKNOWN,1.0,128.82,151.55,PRM00033,5.0,0.0,Sold,True,Missing product
TL0000000236,TXN000000073,4,SKU_UNKNOWN,1.0,170.43,170.43,,0.0,8.52,Sold,True,Missing product
TL0000000394,TXN000000115,3,SKU_UNKNOWN,-1.0,158.94,158.94,,0.0,0.0,Voided,False,Missing product
TL0000000844,TXN000000240,1,SKU_UNKNOWN,-1.0,68.19,80.22,,1.0,0.0,Sold,False,Missing product
TL0000000877,TXN000000248,3,SKU_UNKNOWN,2.0,331.03,331.03,,0.0,46.34,Voided,True,Missing product
TL0000001254,TXN000000357,5,SKU_UNKNOWN,1.0,774.41,774.41,,0.0,69.7,Sold,True,Missing product
TL0000001526,TXN000000438,1,SKU_UNKNOWN,1.0,431.05,507.12,,0.0,21.55,Voided,True,Missing product
TL0000002031,TXN000000589,4,SKU_UNKNOWN,1.0,1163.09,1163.09,,0.0,58.15,Voided,True,Missing product
TL0000002327,TXN000000672,2,SKU_UNKNOWN,1.0,207.43,230.48,,1.0,18.67,Voided,True,Missing product
TL0000002427,TXN000000698,3,SKU_UNKNOWN,2.0,1163.09,1163.09,PRM00049,2.0,209.36,Sold,True,Missing product
TL0000002526,TXN000000725,1,SKU_UNKNOWN,4.0,557.52,557.52,,0.0,111.5,Voided,True,Missing product
TL0000002527,TXN000000725,2,SKU_UNKNOWN,4.0,267.41,281.48,,0.0,53.48,Voided,True,Missing product
TL0000002901,TXN000000838,2,SKU_UNKNOWN,1.0,71.72,75.5,,1.0,6.46,Sold,True,Missing product
TL0000003107,TXN000000891,5,SKU_UNKNOWN,2.0,94.95,94.95,,0.0,13.29,Sold,True,Missing product
TL0000003438,TXN000000987,3,SKU_UNKNOWN,1.0,101.33,106.66,PRM00019,2.0,5.07,Sold,True,Missing product
