online_order_line_id,online_order_id,line_number,product_id,quantity,unit_price,discount_amount,line_status,valid_values,quarantine_reason
OL0000000007,WEB00000003,2,SKU0000014,-1.0,357.47,0.0,Allocated,False,Bad online line quantity or price
OL0000000017,WEB00000007,5,SKU0000373,-1.0,180.92,0.0,Cancelled,False,Bad online line quantity or price
OL0000000023,WEB00000009,2,SKU0000536,-1.0,162.65,0.0,Allocated,False,Bad online line quantity or price
OL0000000024,WEB00000009,3,SKU0000528,,65.18,0.0,Shipped,False,Bad online line quantity or price
OL0000000027,WEB00000010,1,SKU0000531,-1.0,331.03,5.0,Cancelled,False,Bad online line quantity or price
OL0000000028,WEB00000011,1,SKU0000277,-1.0,244.44,0.0,Cancelled,False,Bad online line quantity or price
OL0000000030,WEB00000011,3,SKU0000449,-1.0,116.56,0.0,Open,False,Bad online line quantity or price
OL0000000032,WEB00000011,5,SKU0000556,,717.91,2.0,Allocated,False,Bad online line quantity or price
OL0000000034,WEB00000012,2,SKU0000243,-1.0,136.35,2.0,Cancelled,False,Bad online line quantity or price
OL0000000039,WEB00000014,1,SKU0000184,,757.42,0.0,Allocated,False,Bad online line quantity or price
OL0000000042,WEB00000016,1,SKU0000126,,465.6,2.0,Cancelled,False,Bad online line quantity or price
OL0000000046,WEB00000017,2,SKU0000315,-1.0,481.09,1.0,Open,False,Bad online line quantity or price
OL0000000047,WEB00000017,3,SKU0000266,-1.0,238.34,0.0,Shipped,False,Bad online line quantity or price
OL0000000048,WEB00000017,4,SKU0000567,,15.45,1.0,Shipped,False,Bad online line quantity or price
OL0000000049,WEB00000018,1,SKU0000152,-1.0,471.64,0.0,Picked,False,Bad online line quantity or price
OL0000000050,WEB00000018,2,SKU0000557,,157.18,0.0,Cancelled,False,Bad online line quantity or price
OL0000000060,WEB00000021,1,SKU0000076,,376.92,0.0,Picked,False,Bad online line quantity or price
OL0000000068,WEB00000023,5,SKU0000467,-1.0,667.04,5.0,Open,False,Bad online line quantity or price
OL0000000075,WEB00000025,3,SKU0000400,-1.0,235.65,0.0,Cancelled,False,Bad online line quantity or price
OL0000000078,WEB00000026,2,SKU0000190,,351.52,0.0,Picked,False,Bad online line quantity or price
OL0000000079,WEB00000026,3,SKU0000331,-1.0,206.99,0.0,Shipped,False,Bad online line quantity or price
OL0000000085,WEB00000029,1,SKU0000451,,109.95,1.0,Picked,False,Bad online line quantity or price
OL0000000089,WEB00000030,4,SKU0000413,-1.0,126.83,5.0,Open,False,Bad online line quantity or price
OL0000000091,WEB00000031,1,SKU0000064,-1.0,23.81,0.0,Open,False,Bad online line quantity or price
OL0000000092,WEB00000031,2,SKU0000024,-1.0,349.75,0.0,Cancelled,False,Bad online line quantity or price
OL0000000094,WEB00000032,1,SKU0000086,-1.0,609.71,0.0,Shipped,False,Bad online line quantity or price
OL0000000095,WEB00000032,2,SKU0000391,,144.03,5.0,Allocated,False,Bad online line quantity or price
OL0000000098,WEB00000033,3,SKU0000398,-1.0,551.87,0.0,Cancelled,False,Bad online line quantity or price
OL0000000101,WEB00000034,3,SKU0000524,,959.9,0.0,Shipped,False,Bad online line quantity or price
OL0000000102,WEB00000034,4,SKU0000192,,611.62,5.0,Cancelled,False,Bad online line quantity or price
OL0000000108,WEB00000036,2,SKU0000316,,483.36,1.0,Cancelled,False,Bad online line quantity or price
OL0000000109,WEB00000037,1,SKU0000362,,580.18,0.0,Cancelled,False,Bad online line quantity or price
OL0000000122,WEB00000040,3,SKU0000018,-1.0,685.31,5.0,Cancelled,False,Bad online line quantity or price
OL0000000123,WEB00000040,4,SKU0000420,,678.55,0.0,Shipped,False,Bad online line quantity or price
OL0000000125,WEB00000041,1,SKU0000457,-1.0,363.55,2.0,Cancelled,False,Bad online line quantity or price
OL0000000127,WEB00000041,3,SKU0000408,,172.1,0.0,Shipped,False,Bad online line quantity or price
OL0000000130,WEB00000043,1,SKU0000338,,705.63,5.0,Picked,False,Bad online line quantity or price
OL0000000133,WEB00000044,1,SKU0000017,,99.36,1.0,Allocated,False,Bad online line quantity or price
OL0000000134,WEB00000044,2,SKU0000220,-1.0,383.12,0.0,Open,False,Bad online line quantity or price
OL0000000136,WEB00000044,4,SKU0000091,-1.0,190.56,1.0,Open,False,Bad online line quantity or price
