transaction_id,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id,transaction_date,quarantine_reason
TXN000000002,STR0009,REG026,ASC000245,CUST00000883,,VOID,Pickup,Completed,POS_B,,Bad transaction timestamp
TXN000000004,STR0013,REG019,ASC000435,CUST00000679,,VOID,Store,Suspended,POS_C,,Bad transaction timestamp
TXN000000005,STR0014,REG022,ASC000498,CUST00000469,,SALE,Store,Voided,POS_C,,Bad transaction timestamp
TXN000000007,STR0018,REG016,ASC000199,CUST00001593,,SALE,Store,Completed,POS_C,,Bad transaction timestamp
TXN000000008,STR0021,REG011,ASC000424,CUST00001755,,SALE,Store,Completed,POS_A,,Bad transaction timestamp
TXN000000010,STR0005,REG017,ASC000473,CUST00000456,,VOID,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000015,STR0016,REG016,ASC000100,CUST00000295,,SALE,Pickup,Completed,POS_B,,Bad transaction timestamp
TXN000000018,STR0013,REG006,ASC000149,CUST00001229,,SALE,Pickup,Completed,POS_A,,Bad transaction timestamp
TXN000000019,STR0017,REG010,ASC000309,CUST00000027,,SALE,Pickup,Completed,POS_B,,Bad transaction timestamp
TXN000000020,STR0017,REG023,ASC000141,CUST00001742,,SALE,Store,Suspended,POS_A,,Bad transaction timestamp
TXN000000021,STR0010,REG003,ASC000408,,,SALE,Store,Suspended,POS_B,,Bad transaction timestamp
TXN000000024,STR0004,REG009,ASC000062,CUST00001610,,SALE,Pickup,Completed,POS_C,,Bad transaction timestamp
TXN000000025,STR0002,REG021,ASC000253,CUST00000800,,SALE,Store,Completed,POS_C,,Bad transaction timestamp
TXN000000026,STR0010,REG001,ASC000064,,,SALE,Store,Completed,POS_C,,Bad transaction timestamp
TXN000000028,STR0025,REG005,ASC000465,CUST00000002,,SALE,Pickup,Suspended,POS_C,,Bad transaction timestamp
TXN000000029,STR0020,REG006,ASC000358,,,SALE,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000030,STR0023,REG026,ASC000487,CUST00000991,,SALE,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000031,STR0003,REG014,ASC000073,CUST00001397,,SALE,Pickup,Completed,POS_B,,Bad transaction timestamp
TXN000000032,STR0025,REG007,ASC000174,CUST00001794,,SALE,Pickup,Completed,POS_C,,Bad transaction timestamp
TXN000000033,STR0016,REG024,ASC000267,CUST00001646,,SALE,Store,Voided,POS_B,,Bad transaction timestamp
TXN000000036,STR0007,REG005,ASC000079,,,SALE,Store,Completed,POS_C,,Bad transaction timestamp
TXN000000037,STR0009,REG020,ASC000167,CUST00000154,,SALE,Store,Voided,POS_A,,Bad transaction timestamp
TXN000000040,STR0019,REG014,ASC000013,,,VOID,Pickup,Completed,POS_C,,Bad transaction timestamp
TXN000000042,STR0010,REG007,ASC000433,CUST00001641,,SALE,Store,Suspended,POS_B,,Bad transaction timestamp
TXN000000047,STR0023,REG016,ASC000407,CUST00001295,,SALE,Pickup,Voided,POS_B,,Bad transaction timestamp
TXN000000052,STR0024,REG028,ASC000373,CUST00000182,,VOID,Pickup,Completed,POS_C,,Bad transaction timestamp
TXN000000053,STR0007,REG009,ASC000270,CUST00000757,,SALE,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000058,STR0012,REG004,ASC000069,CUST00001403,,SALE,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000059,STR0024,REG023,ASC000225,CUST00000662,,SALE,Store,Voided,POS_A,,Bad transaction timestamp
TXN000000062,STR0017,REG022,ASC000024,CUST00001118,,SALE,Store,Completed,POS_C,,Bad transaction timestamp
TXN000000064,STR0004,REG015,ASC000240,CUST00000627,,SALE,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000065,STR0004,REG010,ASC000074,CUST00001046,,SALE,Store,Completed,POS_A,,Bad transaction timestamp
TXN000000066,STR0002,REG011,ASC000114,,,SALE,Store,Completed,POS_A,,Bad transaction timestamp
TXN000000067,STR0011,REG012,ASC000325,,,SALE,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000068,STR0024,REG001,ASC000418,,,VOID,Store,Completed,POS_B,,Bad transaction timestamp
TXN000000069,STR0020,REG027,ASC000284,CUST00000098,,SALE,Store,Completed,POS_C,,Bad transaction timestamp
TXN000000072,STR0004,REG010,ASC000074,CUST00001328,,SALE,Store,Completed,POS_A,,Bad transaction timestamp
TXN000000073,STR0021,REG009,ASC000268,CUST00001330,,SALE,Pickup,Completed,POS_A,,Bad transaction timestamp
