transaction_id,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id,transaction_date,quarantine_reason
TXN000000574,STR0018,REG009,ASC_BAD,CUST00000567,,SALE,Store,Voided,POS_A,,Missing associate
TXN000000907,STR0009,REG016,ASC_BAD,,2026-05-03 10:57:00,SALE,Store,Completed,POS_C,2026-05-03,Missing associate
TXN000000928,STR0011,REG020,ASC_BAD,,,SALE,Pickup,Voided,POS_A,,Missing associate
TXN000000946,STR0025,REG024,ASC_BAD,,2026-05-06 06:42:00,VOID,Store,Voided,POS_B,2026-05-06,Missing associate
TXN000001188,STR0018,REG026,ASC_BAD,CUST00000372,,SALE,Pickup,Suspended,POS_A,,Missing associate
TXN000001692,STR0004,REG026,ASC_BAD,,2026-04-29 02:07:00,SALE,Store,Completed,POS_A,2026-04-29,Missing associate
TXN000001810,STR0011,REG006,ASC_BAD,CUST00001784,2026-04-23 20:25:00,VOID,Pickup,Suspended,POS_C,2026-04-23,Missing associate
TXN000002247,STR0019,REG011,ASC_BAD,,,VOID,Store,Suspended,POS_C,,Missing associate
TXN000002498,STR0010,REG027,ASC_BAD,CUST00001717,2026-04-19 02:37:00,SALE,Store,Completed,POS_C,2026-04-19,Missing associate
TXN000002609,STR0023,REG026,ASC_BAD,CUST00001719,,SALE,Pickup,Suspended,POS_B,,Missing associate
TXN000002647,STR0025,REG005,ASC_BAD,CUST00000904,2026-04-01 07:50:00,VOID,Store,Completed,POS_B,2026-04-01,Missing associate
TXN000002759,STR0018,REG017,ASC_BAD,,,SALE,Store,Voided,POS_B,,Missing associate
TXN000003981,STR0008,REG015,ASC_BAD,CUST00001414,2026-05-28 21:56:00,SALE,Pickup,Completed,POS_B,2026-05-28,Missing associate
TXN000004003,STR0021,REG004,ASC_BAD,CUST00000109,,SALE,Store,Voided,POS_A,,Missing associate
TXN000004456,STR0011,REG007,ASC_BAD,,,SALE,Pickup,Completed,POS_C,,Missing associate
TXN000004464,STR0018,REG008,ASC_BAD,CUST00000736,,SALE,Pickup,Suspended,POS_B,,Missing associate
TXN000004873,STR0009,REG005,ASC_BAD,,,SALE,Pickup,Completed,POS_A,,Missing associate
TXN000005644,STR0007,REG028,ASC_BAD,CUST00000897,,SALE,Store,Completed,POS_C,,Missing associate
TXN000005810,STR0022,REG015,ASC_BAD,,2026-04-13 15:17:00,SALE,Pickup,Suspended,POS_C,2026-04-13,Missing associate
TXN000005929,STR0011,REG004,ASC_BAD,CUST00000978,,SALE,Store,Voided,POS_C,,Missing associate
TXN000006130,STR0020,REG015,ASC_BAD,,,SALE,Store,Completed,POS_C,,Missing associate
TXN000006448,STR0025,REG005,ASC_BAD,CUST00000372,2026-04-12 12:41:00,VOID,Store,Completed,POS_B,2026-04-12,Missing associate
TXN000007185,STR0014,REG018,ASC_BAD,CUST00000600,,SALE,Pickup,Suspended,POS_A,,Missing associate
TXN000007423,STR0015,REG002,ASC_BAD,CUST00001073,2026-05-11 09:02:00,SALE,Store,Voided,POS_B,2026-05-11,Missing associate
TXN000007568,STR0012,REG014,ASC_BAD,CUST00000340,,SALE,Store,Voided,POS_B,,Missing associate
TXN000008168,STR0003,REG013,ASC_BAD,,,SALE,Store,Suspended,POS_B,,Missing associate
TXN000008512,STR0009,REG022,ASC_BAD,,2026-04-15 12:02:00,SALE,Pickup,Completed,POS_C,2026-04-15,Missing associate
TXN000008604,STR0022,REG003,ASC_BAD,CUST00000827,2026-04-18 03:20:00,SALE,Pickup,Completed,POS_A,2026-04-18,Missing associate
