transaction_id,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id,transaction_date,quarantine_reason
TXN000000258,STR_UNKNOWN,REG005,ASC000423,CUST00000841,,SALE,Store,Completed,POS_C,,Missing store
TXN000000413,STR_UNKNOWN,REG018,ASC000327,,2026-04-15 15:33:00,SALE,Store,Voided,POS_B,2026-04-15,Missing store
TXN000001072,STR_UNKNOWN,REG022,ASC000028,CUST00001654,,SALE,Store,Completed,POS_C,,Missing store
TXN000001170,STR_UNKNOWN,REG023,ASC000187,,,VOID,Store,Completed,POS_B,,Missing store
TXN000001361,STR_UNKNOWN,REG006,ASC000146,CUST00000609,,SALE,Store,Completed,POS_A,,Missing store
TXN000001507,STR_UNKNOWN,REG023,ASC000025,,,VOID,Store,Completed,POS_A,,Missing store
TXN000001936,STR_UNKNOWN,REG019,ASC000455,,,VOID,Store,Voided,POS_A,,Missing store
TXN000002299,STR_UNKNOWN,REG008,ASC000479,CUST00000034,,SALE,Pickup,Suspended,POS_C,,Missing store
TXN000003123,STR_UNKNOWN,REG006,ASC000267,,,SALE,Store,Voided,POS_B,,Missing store
TXN000003306,STR_UNKNOWN,REG026,ASC000100,,,SALE,Store,Completed,POS_A,,Missing store
TXN000004279,STR_UNKNOWN,REG018,ASC000069,CUST00000100,,SALE,Pickup,Completed,POS_B,,Missing store
TXN000004384,STR_UNKNOWN,REG003,ASC000494,,2026-05-05 09:11:00,VOID,Store,Completed,POS_A,2026-05-05,Missing store
TXN000005033,STR_UNKNOWN,REG006,ASC000473,,2026-05-11 07:43:00,SALE,Store,Completed,POS_B,2026-05-11,Missing store
TXN000005310,STR_UNKNOWN,REG021,ASC000440,CUST00000984,,SALE,Store,Completed,POS_B,,Missing store
TXN000005458,STR_UNKNOWN,REG003,ASC000286,,,VOID,Store,Completed,POS_A,,Missing store
TXN000005665,STR_UNKNOWN,REG002,ASC000357,CUST00000908,2026-05-26 17:12:00,VOID,Store,Voided,POS_A,2026-05-26,Missing store
TXN000005972,STR_UNKNOWN,REG005,ASC000379,CUST00000823,2026-05-05 11:33:00,SALE,Pickup,Completed,POS_C,2026-05-05,Missing store
TXN000006555,STR_UNKNOWN,REG018,ASC000249,CUST00000669,2026-04-22 01:16:00,SALE,Pickup,Completed,POS_A,2026-04-22,Missing store
TXN000006650,STR_UNKNOWN,REG016,ASC000149,CUST00001022,2026-05-26 00:55:00,SALE,Store,Completed,POS_C,2026-05-26,Missing store
TXN000006933,STR_UNKNOWN,REG005,ASC000237,,,SALE,Store,Voided,POS_B,,Missing store
TXN000007346,STR_UNKNOWN,REG009,ASC000072,CUST00000662,2026-04-01 19:17:00,SALE,Store,Completed,POS_C,2026-04-01,Missing store
TXN000007406,STR_UNKNOWN,REG006,ASC000046,CUST00000710,2026-05-29 17:24:00,SALE,Store,Suspended,POS_A,2026-05-29,Missing store
TXN000007874,STR_UNKNOWN,REG027,ASC000258,,2026-04-22 16:39:00,SALE,Pickup,Completed,POS_B,2026-04-22,Missing store
TXN000008076,STR_UNKNOWN,REG020,ASC000246,,,VOID,Pickup,Suspended,POS_B,,Missing store
TXN000008381,STR_UNKNOWN,REG010,ASC000406,CUST00001754,,SALE,Pickup,Voided,POS_C,,Missing store
TXN000008425,STR_UNKNOWN,REG011,ASC000109,,2026-04-21 01:19:00,SALE,Pickup,Completed,POS_B,2026-04-21,Missing store
TXN000008740,STR_UNKNOWN,REG028,ASC000354,CUST00000173,,SALE,Store,Completed,POS_B,,Missing store
TXN000008857,STR_UNKNOWN,REG007,ASC000106,CUST00001517,2026-05-19 22:44:00,SALE,Pickup,Completed,POS_B,2026-05-19,Missing store
