online_order_line_id,online_order_id,line_number,product_id,quantity,unit_price,discount_amount,line_status,_loaded_at_utc,_source_file
OL0000000001,WEB00000001,1,SKU0000575,1,795.41,5,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000002,WEB00000001,2,SKU0000405,2,810.44,1,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000003,WEB00000002,1,SKU0000199,1,46.13,0,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000004,WEB00000002,2,SKU0000116,1,910.20,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000005,WEB00000002,3,SKU0000539,2,415.73,2,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000006,WEB00000003,1,SKU0000031,2,289.05,5,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000007,WEB00000003,2,SKU0000014,-1,357.47,0,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000008,WEB00000004,1,SKU0000335,3,437.19,5,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000009,WEB00000005,1,SKU0000254,4,285.81,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000010,WEB00000005,2,SKU0000417,1,246.82,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000011,WEB00000006,1,SKU0000376,2,438.30,bad,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000012,WEB00000006,2,SKU0000018,1,685.31,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000013,WEB00000007,1,SKU0000559,3,492.88,2,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000014,WEB00000007,2,SKU0000423,4,152.87,,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000015,WEB00000007,3,SKU0000509,4,214.37,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000016,WEB00000007,4,SKU0000524,4,959.90,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000017,WEB00000007,5,SKU0000373,-1,180.92,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000018,WEB00000008,1,SKU0000271,2,861.62,0,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000019,WEB00000008,2,SKU0000528,4,65.18,0,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000020,WEB00000008,3,SKU0000311,4,205.50,2,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000021,WEB00000008,4,SKU0000541,4,398.78,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000022,WEB00000009,1,SKU0000147,1,473.33,5,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000023,WEB00000009,2,SKU0000536,-1,162.65,0,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000024,WEB00000009,3,SKU0000528,,65.18,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000025,WEB00000009,4,SKU0000350,1,94.95,5,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000026,WEB00000009,5,SKU0000030,1,341.80,5,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000027,WEB00000010,1,SKU0000531,-1,331.03,5,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000028,WEB00000011,1,SKU0000277,-1,244.44,,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000029,WEB00000011,2,SKU0000377,3,104.96,1,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000030,WEB00000011,3,SKU0000449,-1,116.56,0,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000031,WEB00000011,4,SKU0000456,2,224.21,5,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000032,WEB00000011,5,SKU0000556,,717.91,2,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000033,WEB00000012,1,SKU0000067,4,774.41,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000034,WEB00000012,2,SKU0000243,-1,136.35,2,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000035,WEB00000012,3,SKU0000309,3,420.75,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000036,WEB00000012,4,SKU0000564,3,612.13,1,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000037,WEB00000012,5,SKU0000028,1,320.01,2,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000038,WEB00000013,1,SKU0000011,3,112.26,bad,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000039,WEB00000014,1,SKU0000184,,757.42,bad,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000040,WEB00000015,1,SKU0000381,4,958.36,5,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000041,WEB00000015,2,SKU0000387,2,99.52,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000042,WEB00000016,1,SKU0000126,,465.60,2,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000043,WEB00000016,2,SKU0000511,2,714.61,5,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000044,WEB00000016,3,SKU0000022,4,269.66,bad,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000045,WEB00000017,1,SKU0000542,3,494.12,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000046,WEB00000017,2,SKU0000315,-1,481.09,1,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000047,WEB00000017,3,SKU0000266,-1,238.34,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000048,WEB00000017,4,SKU0000567,,15.45,1,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000049,WEB00000018,1,SKU0000152,-1,471.64,bad,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000050,WEB00000018,2,SKU0000557,,157.18,bad,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000051,WEB00000018,3,SKU0000044,1,836.26,1,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000052,WEB00000018,4,SKU0000030,4,341.80,bad,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000053,WEB00000019,1,SKU0000529,1,295.09,1,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000054,WEB00000019,2,SKU0000113,2,313.01,5,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000055,WEB00000019,3,SKU0000083,3,501.55,5,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000056,WEB00000020,1,SKU0000064,4,23.81,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000057,WEB00000020,2,SKU0000125,4,482.59,,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000058,WEB00000020,3,SKU0000565,1,80.22,,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000059,WEB00000020,4,SKU0000083,2,501.55,0,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000060,WEB00000021,1,SKU0000076,,376.92,bad,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000061,WEB00000021,2,SKU0000033,2,711.31,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000062,WEB00000021,3,SKU0000482,1,751.13,bad,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000063,WEB00000022,1,SKU0000390,1,249.82,2,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000064,WEB00000023,1,SKU0000479,1,238.05,,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000065,WEB00000023,2,SKU0000326,3,255.75,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000066,WEB00000023,3,SKU0000170,3,371.22,1,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000067,WEB00000023,4,SKU0000231,2,328.79,2,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000068,WEB00000023,5,SKU0000467,-1,667.04,5,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000069,WEB00000024,1,SKU0000024,3,349.75,bad,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000070,WEB00000024,2,SKU0000048,3,888.44,1,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000071,WEB00000024,3,SKU0000164,3,714.59,,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000072,WEB00000024,4,SKU0000194,4,281.87,2,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000073,WEB00000025,1,SKU0000351,1,11.23,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000074,WEB00000025,2,SKU0000553,1,493.10,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000075,WEB00000025,3,SKU0000400,-1,235.65,bad,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000076,WEB00000025,4,SKU0000403,3,354.83,bad,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000077,WEB00000026,1,SKU0000294,2,170.43,1,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000078,WEB00000026,2,SKU0000190,,351.52,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000079,WEB00000026,3,SKU0000331,-1,206.99,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000080,WEB00000026,4,SKU0000444,1,199.58,bad,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000081,WEB00000026,5,SKU0000315,1,481.09,2,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000082,WEB00000027,1,SKU0000501,2,122.73,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000083,WEB00000027,2,SKU0000501,4,122.73,0,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000084,WEB00000028,1,SKU0000064,1,23.81,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000085,WEB00000029,1,SKU0000451,,109.95,1,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000086,WEB00000030,1,SKU0000548,3,62.68,5,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000087,WEB00000030,2,SKU0000111,1,557.52,,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000088,WEB00000030,3,SKU0000375,4,491.34,2,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000089,WEB00000030,4,SKU0000413,-1,126.83,5,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000090,WEB00000030,5,SKU0000097,2,619.42,2,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000091,WEB00000031,1,SKU0000064,-1,23.81,0,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000092,WEB00000031,2,SKU0000024,-1,349.75,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000093,WEB00000031,3,SKU0000515,1,538.39,bad,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000094,WEB00000032,1,SKU0000086,-1,609.71,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000095,WEB00000032,2,SKU0000391,,144.03,5,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000096,WEB00000033,1,SKU0000547,1,595.93,,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000097,WEB00000033,2,SKU0000567,1,15.45,2,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000098,WEB00000033,3,SKU0000398,-1,551.87,bad,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000099,WEB00000034,1,SKU0000433,1,814.73,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000100,WEB00000034,2,SKU0000365,4,256.04,2,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000101,WEB00000034,3,SKU0000524,,959.90,0,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000102,WEB00000034,4,SKU0000192,,611.62,5,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000103,WEB00000034,5,SKU0000448,4,530.06,5,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000104,WEB00000035,1,SKU0000475,2,150.21,2,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000105,WEB00000035,2,SKU0000352,3,819.41,5,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000106,WEB00000035,3,SKU0000263,1,99.40,5,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000107,WEB00000036,1,SKU0000371,1,488.92,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000108,WEB00000036,2,SKU0000316,,483.36,1,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000109,WEB00000037,1,SKU0000362,,580.18,bad,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000110,WEB00000037,2,SKU0000281,4,780.39,2,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000111,WEB00000037,3,SKU0000168,3,635.65,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000112,WEB00000037,4,SKU0000218,4,388.94,0,Cancelled,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000113,WEB00000037,5,SKU0000005,3,129.56,bad,Allocated,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000114,WEB00000038,1,SKU0000419,4,30.10,0,Picked,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000115,WEB00000038,2,SKU0000308,2,497.51,0,Open,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
OL0000000116,WEB00000038,3,SKU0000497,4,88.01,1,Shipped,2026-08-08T04:42:27.954508+00:00,data/raw/transactions/online_order_lines.csv
