cdc_id,product_id,effective_ts,operation,new_regular_price,new_product_status,change_reason,_loaded_at_utc,_source_file
PCDC0000001,SKU0000046,2026-04-26 04:24:02,DISCONTINUE,870.94,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000002,SKU0000006,2026-05-17 12:56:14,DISCONTINUE,793.16,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000003,SKU0000054,2026-05-04 08:26:59,UPDATE,201.61,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000004,SKU0000577,2026-04-19 16:53:39,UPDATE,30.20,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000005,SKU0000017,2026-05-13 23:13:32,UPDATE,92.77,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000006,SKU0000348,2026-05-08 03:39:14,DISCONTINUE,496.46,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000007,SKU0000139,2026-04-01 15:57:07,DISCONTINUE,739.87,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000008,SKU0000102,2026-05-20 22:35:13,UPDATE,433.87,Discontinued,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000009,SKU0000519,2026-04-21 07:53:58,UPDATE,251.94,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000010,SKU0000003,2026-04-29 11:00:47,UPDATE,283.63,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000011,SKU0000329,2026-04-28 14:54:49,UPDATE,930.96,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000012,SKU0000009,2026-05-06 11:39:16,UPDATE,37.43,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000013,SKU0000518,2026-04-27 01:56:15,UPDATE,225.32,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000014,SKU0000248,2026-04-05 00:10:04,UPDATE,464.29,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000015,SKU0000227,2026-05-06 09:29:41,UPDATE,229.27,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000016,SKU0000218,2026-04-14 00:41:23,UPDATE,436.14,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000017,SKU0000122,2026-04-01 23:01:22,DISCONTINUE,516.33,Active,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000018,SKU0000287,2026-05-08 08:38:26,UPDATE,172.13,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000019,SKU0000045,2026-04-02 02:55:58,UPDATE,853.43,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000020,SKU0000141,2026-05-01 18:59:09,UPDATE,677.90,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000021,SKU0000424,2026-04-24 04:38:14,UPDATE,300.37,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000022,SKU0000364,2026-04-13 01:24:00,UPDATE,65.70,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000023,SKU0000114,2026-05-27 23:54:41,DISCONTINUE,203.22,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000024,SKU0000249,2026-04-06 03:53:35,UPDATE,109.18,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000025,SKU0000580,2026-04-14 21:58:00,DISCONTINUE,612.45,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000026,SKU0000039,2026-05-18 10:40:50,UPDATE,138.94,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
