promotion_id,promotion_name,promotion_type,discount_value,start_date,end_date,channel,active_flag,_loaded_at_utc,_source_file
PRM00001,Rollback Campaign 1,Rollback,15,2026-03-01,2026-03-15,Online,Y,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00002,Percent Off Campaign 2,Percent Off,20,2026-03-04,2026-03-18,Omnichannel,Yes,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00003,Dollar Off Campaign 3,Dollar Off,5,2026-03-09,2026-03-23,Online,Yes,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00004,Dollar Off Campaign 4,Dollar Off,20,2026-04-03,2026-04-10,Store,Yes,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00005,Clearance Campaign 5,Clearance,10,2026-05-12,2026-05-19,Online,N,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00006,Rollback Campaign 6,Rollback,15,2026-03-27,2026-04-10,Store,Yes,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00007,Dollar Off Campaign 7,Dollar Off,15,2026-03-23,2026-03-26,Store,Y,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00008,Percent Off Campaign 8,Percent Off,20,2026-05-15,2026-06-14,Store,Y,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00009,Clearance Campaign 9,Clearance,15,2026-03-21,2026-03-28,Online,Y,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00010,Percent Off Campaign 10,Percent Off,20,2026-03-26,2026-03-29,Store,N,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00011,Percent Off Campaign 11,Percent Off,20,2026-03-11,2026-04-10,Omnichannel,N,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00012,Rollback Campaign 12,Rollback,10,2026-04-27,2026-05-18,Omnichannel,Yes,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00013,Dollar Off Campaign 13,Dollar Off,15,2026-03-30,2026-04-13,Store,1,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00014,Rollback Campaign 14,Rollback,10,2026-04-02,2026-04-09,Online,1,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00015,Rollback Campaign 15,Rollback,15,2026-03-07,2026-03-21,Omnichannel,1,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00016,Rollback Campaign 16,Rollback,20,2026-03-25,2026-04-15,Store,Y,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00017,Clearance Campaign 17,Clearance,20,2026-04-27,2026-05-27,Omnichannel,Yes,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00018,Percent Off Campaign 18,Percent Off,5,2026-03-03,2026-03-17,Online,N,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00019,BOGO Campaign 19,BOGO,10,2026-04-12,2026-04-19,Online,Y,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00020,Dollar Off Campaign 20,Dollar Off,15,2026-05-13,2026-06-12,Omnichannel,Yes,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00021,Dollar Off Campaign 21,Dollar Off,5,2026-03-24,2026-03-27,Omnichannel,1,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00022,Rollback Campaign 22,Rollback,10,2026-04-09,2026-04-23,Online,Y,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
PRM00023,Percent Off Campaign 23,Percent Off,5,2026-04-06,2026-04-13,Omnichannel,N,2026-08-08T04:42:27.280786+00:00,data/raw/master/promotions.csv
