cdc_id,customer_id,effective_ts,operation,new_loyalty_tier,new_active_flag,change_reason
CCDC0000001,CUST00001713,2026-04-12 23:27:57,UPDATE,Gold,Y,spend_review
CCDC0000002,CUST00000880,2026-04-09 09:35:43,UPDATE,Plus,Y,spend_review
CCDC0000003,CUST00001610,2026-05-27 20:47:22,UPDATE,Basic,Y,customer_request
CCDC0000004,CUST00000094,2026-04-05 00:01:23,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000005,CUST00001500,2026-05-13 10:52:53,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000006,CUST00001146,2026-04-06 16:16:19,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000007,CUST00001549,2026-04-29 17:48:24,UPDATE,Basic,N,inactive_cleanup
CCDC0000008,CUST00000193,2026-05-04 03:56:08,UPDATE,Plus,N,loyalty_upgrade
CCDC0000009,CUST00000811,2026-04-14 20:29:11,UPDATE,Silver,Y,loyalty_upgrade
CCDC0000010,CUST00001535,2026-05-24 08:49:36,UPDATE,Gold,N,spend_review
CCDC0000011,CUST00000800,2026-05-11 18:57:21,UPDATE,Silver,Y,inactive_cleanup
CCDC0000012,CUST00000462,2026-04-17 14:52:17,UPDATE,Basic,N,loyalty_upgrade
CCDC0000013,CUST00001566,2026-04-04 18:35:14,UPDATE,Gold,N,customer_request
CCDC0000014,CUST00000457,2026-05-22 02:41:47,UPDATE,Gold,Y,spend_review
CCDC0000015,CUST00000559,2026-04-28 12:40:25,UPDATE,Silver,N,customer_request
CCDC0000016,CUST00001211,2026-05-06 09:37:15,UPDATE,Silver,Y,inactive_cleanup
CCDC0000017,CUST00001382,2026-05-09 02:03:33,UPDATE,Gold,N,loyalty_upgrade
CCDC0000018,CUST00000151,2026-04-04 03:38:41,UPDATE,Silver,N,inactive_cleanup
CCDC0000019,CUST00001027,2026-04-12 16:16:23,UPDATE,Plus,Y,customer_request
CCDC0000020,CUST00001469,2026-05-24 16:44:55,UPDATE,Gold,N,spend_review
CCDC0000021,CUST00000609,2026-04-09 01:34:23,UPDATE,Basic,Y,customer_request
CCDC0000022,CUST00001188,2026-04-01 12:07:07,UPDATE,Gold,Y,customer_request
CCDC0000023,CUST00001102,2026-05-23 18:28:47,UPDATE,Plus,N,inactive_cleanup
CCDC0000024,CUST00000429,2026-04-03 14:59:29,UPDATE,Gold,Y,inactive_cleanup
CCDC0000025,CUST00001531,2026-04-30 06:54:12,UPDATE,Basic,N,loyalty_upgrade
CCDC0000026,CUST00001744,2026-05-23 12:08:02,UPDATE,Silver,N,loyalty_upgrade
CCDC0000027,CUST00001454,2026-04-02 02:52:23,UPDATE,Silver,N,inactive_cleanup
CCDC0000028,CUST00000685,2026-05-12 06:10:36,UPDATE,Silver,Y,customer_request
CCDC0000029,CUST00001552,2026-04-05 23:12:05,UPDATE,Silver,N,customer_request
CCDC0000030,CUST00000427,2026-05-31 15:36:37,UPDATE,Silver,N,inactive_cleanup
CCDC0000031,CUST00001294,2026-05-11 18:37:54,UPDATE,Gold,N,inactive_cleanup
CCDC0000032,CUST00001236,2026-04-05 04:52:10,UPDATE,Silver,Y,loyalty_upgrade
CCDC0000033,CUST00001132,2026-05-18 22:45:21,UPDATE,Silver,Y,spend_review
CCDC0000034,CUST00000425,2026-05-13 08:43:02,UPDATE,Silver,Y,inactive_cleanup
CCDC0000035,CUST00000208,2026-05-01 06:13:57,UPDATE,Basic,N,customer_request
CCDC0000036,CUST00001785,2026-04-10 10:34:24,UPDATE,Silver,Y,inactive_cleanup
CCDC0000037,CUST00000389,2026-05-10 05:18:55,UPDATE,Gold,Y,loyalty_upgrade
CCDC0000038,CUST00000048,2026-04-04 12:00:47,UPDATE,Silver,Y,inactive_cleanup
CCDC0000039,CUST00000310,2026-05-19 18:40:57,UPDATE,Basic,Y,inactive_cleanup
CCDC0000040,CUST00000530,2026-05-10 16:55:55,UPDATE,Gold,Y,customer_request
CCDC0000041,CUST00001730,2026-04-15 22:16:41,UPDATE,Plus,Y,spend_review
CCDC0000042,CUST00000523,2026-05-30 13:50:05,UPDATE,Silver,Y,customer_request
CCDC0000043,CUST00001028,2026-05-26 22:35:49,UPDATE,Silver,Y,customer_request
CCDC0000044,CUST00000837,2026-04-20 03:56:49,UPDATE,Silver,Y,loyalty_upgrade
CCDC0000045,CUST00000689,2026-05-06 06:46:07,UPDATE,Silver,Y,spend_review
CCDC0000046,CUST00000227,2026-04-12 07:19:15,UPDATE,Basic,N,customer_request
CCDC0000047,CUST00000687,2026-05-28 02:42:07,UPDATE,Plus,N,inactive_cleanup
CCDC0000048,CUST00000068,2026-04-10 13:59:33,UPDATE,Basic,N,customer_request
CCDC0000049,CUST00001051,2026-04-22 05:51:04,UPDATE,Basic,Y,spend_review
CCDC0000050,CUST00001298,2026-04-05 19:29:49,UPDATE,Basic,N,loyalty_upgrade
CCDC0000051,CUST00000957,2026-04-25 23:30:39,UPDATE,Silver,Y,inactive_cleanup
