adjustment_id,store_id,product_id,adjustment_ts,adjustment_qty,adjustment_reason,approved_by
ADJ00000001,STR0005,SKU0000349,2026-04-21 14:24:34,5,Damage,mgr_1
ADJ00000002,STR0022,SKU0000418,2026-04-07 08:17:38,2,Found Inventory,mgr_2
ADJ00000003,STR0021,SKU0000321,2026-05-21 04:22:28,20,Cycle Count,mgr_2
ADJ00000004,STR0010,SKU0000071,2026-05-11 12:07:42,-20,Found Inventory,mgr_2
ADJ00000005,STR0013,SKU0000310,2026-05-01 07:49:10,-20,Cycle Count,mgr_1
ADJ00000006,STR0003,SKU0000315,2026-04-15 11:22:24,2,Damage,mgr_2
ADJ00000007,STR0001,SKU0000472,2026-05-20 03:41:56,2,Found Inventory,inventory_lead
ADJ00000008,STR0015,SKU0000186,2026-04-07 18:47:29,1,Damage,
ADJ00000009,STR0006,SKU0000214,2026-05-08 17:47:03,5,Found Inventory,mgr_2
ADJ00000010,STR0020,SKU0000132,2026-04-19 06:19:32,-10,Found Inventory,mgr_1
ADJ00000011,STR0025,SKU0000500,2026-05-07 22:31:06,10,Cycle Count,
ADJ00000012,STR0015,SKU0000498,2026-05-30 07:26:50,-2,System Correction,controller
ADJ00000013,STR0008,SKU0000168,2026-04-26 05:07:11,bad,Shrink,mgr_1
ADJ00000014,STR0011,SKU0000321,2026-05-07 04:22:15,-2,Found Inventory,inventory_lead
ADJ00000015,STR0016,SKU0000349,2026-04-30 22:02:50,5,Shrink,mgr_1
ADJ00000016,STR0001,SKU0000252,2026-05-05 21:07:28,-2,Found Inventory,
ADJ00000017,STR0002,SKU0000172,2026-05-04 02:00:19,1,Found Inventory,
ADJ00000018,STR0016,SKU0000217,2026-05-04 15:31:16,10,Cycle Count,controller
ADJ00000019,STR0001,SKU0000472,2026-04-12 01:20:15,-5,System Correction,mgr_2
ADJ00000020,STR0011,SKU0000136,2026-04-08 10:25:35,bad,Damage,mgr_2
ADJ00000021,STR0007,SKU0000225,2026-05-17 17:17:17,-5,Found Inventory,controller
ADJ00000022,STR0024,SKU0000278,2026-05-25 18:01:12,10,System Correction,inventory_lead
ADJ00000023,STR0015,SKU0000195,2026-05-31 15:43:24,bad,Found Inventory,inventory_lead
ADJ00000024,STR0016,SKU0000494,2026-04-08 15:42:58,-10,Shrink,mgr_2
ADJ00000025,STR0004,SKU0000401,2026-04-27 07:51:52,-2,Shrink,inventory_lead
ADJ00000026,STR0017,SKU0000183,2026-05-27 22:47:02,-20,Damage,mgr_2
ADJ00000027,STR0019,SKU0000351,2026-05-09 19:43:44,20,Cycle Count,inventory_lead
ADJ00000028,STR0012,SKU0000498,2026-04-06 17:51:11,2,Cycle Count,
ADJ00000029,STR0001,SKU0000171,2026-04-11 21:26:12,5,Cycle Count,mgr_1
ADJ00000030,STR0023,SKU0000128,2026-04-02 18:22:35,bad,System Correction,
ADJ00000031,STR0010,SKU0000070,2026-05-18 11:54:14,20,System Correction,inventory_lead
ADJ00000032,STR0011,SKU0000073,2026-04-20 04:50:17,5,System Correction,
ADJ00000033,STR0023,SKU0000505,2026-04-09 10:41:36,-5,Found Inventory,mgr_2
ADJ00000034,STR0001,SKU0000309,2026-05-22 09:58:27,20,Cycle Count,inventory_lead
ADJ00000035,STR0005,SKU0000449,2026-05-03 02:08:03,-2,Found Inventory,
ADJ00000036,STR0015,SKU0000234,2026-04-12 04:27:58,5,Found Inventory,
ADJ00000037,STR0023,SKU0000541,2026-05-15 21:36:02,20,Shrink,
ADJ00000038,STR0019,SKU0000413,2026-04-16 02:01:51,-2,Found Inventory,inventory_lead
ADJ00000039,STR0021,SKU0000509,2026-05-16 23:50:11,bad,Found Inventory,inventory_lead
ADJ00000040,STR0023,SKU0000030,2026-04-27 18:37:18,-5,Damage,mgr_1
ADJ00000041,STR0015,SKU0000554,2026-05-09 13:03:53,-20,Found Inventory,controller
ADJ00000042,STR0005,SKU0000527,2026-04-18 20:34:48,10,Cycle Count,mgr_1
ADJ00000043,STR0004,SKU0000110,2026-05-15 09:55:01,-20,Shrink,inventory_lead
ADJ00000044,STR0017,SKU0000448,2026-05-02 00:50:30,2,Shrink,controller
ADJ00000045,STR0010,SKU0000054,2026-04-13 12:06:44,20,Cycle Count,mgr_2
ADJ00000046,STR0012,SKU0000224,2026-05-21 15:36:55,-5,Found Inventory,mgr_1
ADJ00000047,STR0023,SKU0000576,2026-04-09 13:31:37,-10,Damage,
ADJ00000048,STR0006,SKU0000228,2026-04-25 15:54:25,5,System Correction,
ADJ00000049,STR0007,SKU0000177,2026-04-08 17:23:16,2,System Correction,mgr_2
ADJ00000050,STR0002,SKU0000329,2026-04-10 04:29:36,20,Cycle Count,mgr_1
ADJ00000051,STR0010,SKU0000108,2026-05-03 01:58:35,-5,System Correction,mgr_2
ADJ00000052,STR0016,SKU0000382,2026-05-04 13:40:02,-2,Shrink,controller
ADJ00000053,STR0021,SKU0000353,2026-04-04 09:58:57,bad,Cycle Count,inventory_lead
ADJ00000054,STR0024,SKU0000031,2026-04-28 00:07:52,-5,Found Inventory,controller
ADJ00000055,STR0017,SKU0000336,2026-05-10 15:22:15,-20,Damage,inventory_lead
ADJ00000056,STR0023,SKU0000524,2026-04-03 21:16:46,-5,System Correction,inventory_lead
ADJ00000057,STR0011,SKU0000108,2026-04-24 13:09:01,bad,Damage,mgr_1
ADJ00000058,STR0015,SKU0000041,2026-04-03 20:41:51,10,Shrink,inventory_lead
ADJ00000059,STR0019,SKU0000324,2026-05-19 19:37:44,20,Found Inventory,controller
ADJ00000060,STR0022,SKU0000236,2026-04-28 19:31:08,bad,Found Inventory,mgr_1
ADJ00000061,STR0007,SKU0000075,2026-04-01 21:17:29,10,Shrink,controller
ADJ00000062,STR0010,SKU0000092,2026-04-02 17:51:01,10,System Correction,inventory_lead
ADJ00000063,STR0010,SKU0000224,2026-05-02 07:03:13,20,Found Inventory,controller
ADJ00000064,STR0016,SKU0000569,2026-05-15 15:54:52,1,System Correction,mgr_1
ADJ00000065,STR0016,SKU0000479,2026-05-27 14:29:03,-2,System Correction,mgr_1
ADJ00000066,STR0010,SKU0000266,2026-05-07 19:34:51,-5,Cycle Count,mgr_1
ADJ00000067,STR0008,SKU0000003,2026-05-17 00:13:27,bad,Damage,mgr_1
ADJ00000068,STR0010,SKU0000444,2026-04-30 21:35:28,20,Cycle Count,controller
ADJ00000069,STR0019,SKU0000238,2026-04-22 13:02:34,-5,Damage,
ADJ00000070,STR0020,SKU0000217,2026-05-30 21:48:24,5,System Correction,
ADJ00000071,STR0022,SKU0000559,2026-04-25 12:33:52,-2,Damage,mgr_2
ADJ00000072,STR0005,SKU0000577,2026-05-19 20:35:38,1,Shrink,
ADJ00000073,STR0023,SKU0000424,2026-04-18 12:39:36,-5,Shrink,mgr_1
ADJ00000074,STR0008,SKU0000144,2026-05-01 21:04:48,-10,Damage,mgr_2
ADJ00000075,STR0012,SKU0000116,2026-05-15 20:49:31,20,Damage,mgr_1
ADJ00000076,STR0007,SKU0000149,2026-04-26 10:46:23,-10,Damage,mgr_1
ADJ00000077,STR0023,SKU0000182,2026-04-12 02:05:42,-10,System Correction,
ADJ00000078,STR0001,SKU0000272,2026-05-03 07:12:42,10,Shrink,mgr_1
ADJ00000079,STR0007,SKU0000472,2026-05-07 07:16:58,2,System Correction,mgr_1
ADJ00000080,STR0021,SKU0000436,2026-04-02 02:43:27,10,System Correction,mgr_2
ADJ00000081,STR0003,SKU0000521,2026-05-25 12:19:30,20,System Correction,
ADJ00000082,STR0010,SKU0000375,2026-05-02 11:54:08,-5,Damage,mgr_1
ADJ00000083,STR0017,SKU0000440,2026-04-19 02:44:27,10,System Correction,
ADJ00000084,STR0016,SKU0000232,2026-04-10 01:05:40,2,System Correction,
ADJ00000085,STR0021,SKU0000043,2026-05-08 14:58:08,5,Damage,mgr_2
ADJ00000086,STR0021,SKU0000093,2026-05-08 04:38:54,10,Found Inventory,
ADJ00000087,STR0018,SKU0000458,2026-05-29 11:22:48,-5,Found Inventory,inventory_lead
ADJ00000088,STR0011,SKU0000426,2026-04-14 04:06:50,-5,Damage,inventory_lead
ADJ00000089,STR0024,SKU0000029,2026-05-10 20:41:21,-2,Found Inventory,mgr_2
ADJ00000090,STR0015,SKU0000421,2026-04-15 09:10:59,10,Found Inventory,mgr_1
ADJ00000091,STR0010,SKU0000282,2026-04-19 21:57:45,-10,Cycle Count,
ADJ00000092,STR0024,SKU0000194,2026-05-17 02:09:37,2,Found Inventory,mgr_2
ADJ00000093,STR0007,SKU0000439,2026-05-10 03:38:32,-20,System Correction,inventory_lead
ADJ00000094,STR0024,SKU0000096,2026-05-14 16:13:48,-2,Shrink,mgr_1
