snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status
2026-04-01,STR0001,SKU0000122,182,40,195,10,20,healthy 
2026-04-01,STR0001,SKU0000499,400,17,81,10,10,Overstock
2026-04-01,STR0001,SKU0000298,392,31,92,30,10,Healthy
2026-04-01,STR0001,SKU0000088,410,45,110,75,5,Low
2026-04-01,STR0001,SKU0000487,392,49,56,30,20,Healthy
2026-04-01,STR0001,SKU0000090,293,12,147,30,20,Stockout
2026-04-01,STR0001,SKU0000550,234,3,73,20,10,healthy 
2026-04-01,STR0001,SKU0000531,435,29,92,30,5,Healthy
2026-04-01,STR0001,SKU0000330,182,54,132,10,30,Overstock
2026-04-01,STR0001,SKU0000473,469,5,99,30,20,Low
2026-04-01,STR0001,SKU0000255,345,53,123,20,5,Overstock
2026-04-01,STR0001,SKU0000241,157,56,158,10,20,Healthy
2026-04-01,STR0001,SKU0000172,390,0,62,20,30,Healthy
2026-04-01,STR0001,SKU0000039,285,15,65,10,10,Low
2026-04-01,STR0001,SKU0000252,41,23,26,20,5,Stockout
2026-04-01,STR0001,SKU0000151,202,27,75,20,10,Healthy
2026-04-01,STR0001,SKU0000314,253,39,195,50,20,Healthy
2026-04-01,STR0001,SKU0000312,368,60,142,75,10,healthy 
2026-04-01,STR0001,SKU0000189,298,7,39,10,5,Stockout
2026-04-01,STR0001,SKU0000478,322,1,107,75,10,Healthy
2026-04-01,STR0001,SKU0000176,37,1,39,75,20,Low
2026-04-01,STR0001,SKU0000504,103,16,155,10,5,Stockout
2026-04-01,STR0001,SKU0000004,220,8,20,75,5,Overstock
2026-04-01,STR0001,SKU0000445,121,59,54,20,10,Low
2026-04-01,STR0001,SKU0000283,467,25,183,75,30,Stockout
2026-04-01,STR0001,SKU0000287,0,0,90,50,10,Low
2026-04-01,STR0001,SKU0000374,420,60,135,20,20,healthy 
2026-04-01,STR0001,SKU0000547,474,9,157,50,30,Healthy
2026-04-01,STR0001,SKU0000419,287,58,81,30,30,Healthy
2026-04-01,STR0001,SKU0000382,231,47,94,30,5,Healthy
2026-04-01,STR0001,SKU0000210,133,42,14,20,10,Low
2026-04-01,STR0001,SKU0000503,122,52,24,75,5,healthy 
2026-04-01,STR0001,SKU0000549,42,19,4,75,5,healthy 
2026-04-01,STR0001,SKU0000216,14,4,26,30,20,Stockout
2026-04-01,STR0001,SKU0000406,212,17,184,30,5,Low
2026-04-01,STR0001,SKU0000363,413,59,160,10,30,Low
2026-04-01,STR0001,SKU0000052,290,2,135,10,5,Stockout
2026-04-01,STR0001,SKU0000539,184,36,6,20,30,Low
2026-04-01,STR0001,SKU0000145,196,25,9,20,30,healthy 
2026-04-01,STR0001,SKU0000277,181,16,52,10,5,healthy 
2026-04-01,STR0001,SKU0000056,143,42,79,10,30,healthy 
2026-04-01,STR0001,SKU0000399,7,7,26,75,20,Stockout
2026-04-01,STR0001,SKU0000480,384,2,123,30,20,Stockout
2026-04-01,STR0001,SKU0000267,11,2,120,20,20,healthy 
2026-04-01,STR0001,SKU0000385,200,31,67,50,30,Low
