associate_id,store_id,role,hire_date,employment_status
ASC000001,STR0017,Cashier,2022-03-18,Leave
ASC000002,STR0004,Stock Associate,2021-05-01,Leave
ASC000003,STR0015,Store Manager,2025-10-23,Active
ASC000004,STR0019,Store Manager,2021-08-25,Terminated
ASC000005,STR0012,Store Manager,2018-12-02,Active
ASC000006,STR0001,Store Manager,2023-12-22,Active
ASC000007,STR0016,Stock Associate,2022-08-22,active 
ASC000008,STR0025,Customer Service,2021-07-11,active 
ASC000009,STR0004,Department Lead,2017-12-14,Terminated
ASC000010,STR0010,Store Manager,2019-12-22,Terminated
ASC000011,STR0002,Customer Service,2020-05-12,Active
ASC000012,STR0011,Stock Associate,2021-02-04,Terminated
ASC000013,STR0019,Cashier,2023-02-07,Leave
ASC000014,STR0015,Department Lead,2017-09-19,Leave
ASC000015,STR0005,Stock Associate,2025-06-26,Active
ASC000016,STR0025,Department Lead,2018-02-14,Terminated
ASC000017,STR0018,Customer Service,2025-08-27,Terminated
ASC000018,STR0023,Department Lead,2021-09-05,Active
ASC000019,STR0019,Cashier,2023-03-27,Terminated
ASC000020,STR0015,Stock Associate,2021-07-14,Active
ASC000021,STR0025,Cashier,2019-05-02,Active
ASC000022,STR0007,Department Lead,2018-04-30,Leave
ASC000023,STR0012,Cashier,2021-10-24,Leave
ASC000024,STR0017,Customer Service,2018-03-21,active 
ASC000025,STR0002,Customer Service,2023-03-23,Active
ASC000026,STR0019,Department Lead,2018-06-09,Active
ASC000027,STR0019,Stock Associate,2017-08-12,active 
ASC000028,STR0003,Cashier,2018-02-18,Leave
ASC000029,STR0015,Customer Service,2020-09-05,Leave
ASC000030,STR0006,Customer Service,2019-10-16,active 
ASC000031,STR0017,Store Manager,2021-02-07,Terminated
ASC000032,STR0023,Store Manager,2024-07-09,Active
ASC000033,STR0011,Stock Associate,2017-07-01,Leave
ASC000034,STR0006,Customer Service,2020-12-18,Terminated
ASC000035,STR0001,Store Manager,2021-10-18,Leave
ASC000036,STR0018,Store Manager,2022-11-08,Active
ASC000037,STR0001,Cashier,2021-04-04,active 
ASC000038,STR0002,Store Manager,2024-04-15,Active
ASC000039,STR0008,Customer Service,2022-05-19,Terminated
ASC000040,STR0020,Cashier,2023-01-14,active 
ASC000041,STR0001,Cashier,2017-12-09,Terminated
ASC000042,STR0023,Stock Associate,2020-12-14,Terminated
ASC000043,STR0012,Stock Associate,2019-09-18,Leave
ASC000044,STR0005,Store Manager,2023-04-14,Leave
ASC000045,STR0001,Stock Associate,2026-03-21,Terminated
ASC000046,STR0014,Cashier,2026-03-11,Terminated
ASC000047,STR0016,Cashier,2023-03-04,active 
ASC000048,STR0008,Stock Associate,2022-10-04,Terminated
ASC000049,STR0011,Cashier,2025-03-18,Active
ASC000050,STR0006,Store Manager,2019-03-30,Terminated
ASC000051,STR_BAD,Cashier,2020-05-06,Active
ASC000052,STR0006,Cashier,2023-11-03,Terminated
ASC000053,STR0013,Department Lead,2022-06-05,Active
ASC000054,STR0015,Department Lead,2022-05-03,active 
ASC000055,STR0025,Department Lead,2019-05-23,active 
ASC000056,STR0023,Customer Service,2020-04-22,Terminated
ASC000057,STR0006,Stock Associate,2020-01-16,Leave
ASC000058,STR0009,Department Lead,2023-10-25,active 
ASC000059,STR0015,Customer Service,2022-11-22,Terminated
ASC000060,STR0023,Department Lead,2021-08-19,Terminated
ASC000061,STR0023,Stock Associate,2017-04-05,Active
ASC000062,STR0004,Department Lead,2022-11-20,Leave
ASC000063,STR0005,Stock Associate,2019-12-08,Leave
ASC000064,STR0010,Customer Service,2017-06-27,Active
ASC000065,STR0011,Cashier,2020-05-07,Terminated
ASC000066,STR0014,Cashier,2025-08-18,Leave
ASC000067,STR0003,Cashier,2021-03-03,active 
ASC000068,STR_BAD,Department Lead,2024-08-01,active 
ASC000069,STR0012,Cashier,2018-04-14,Leave
ASC000070,STR0010,Stock Associate,2021-02-19,Leave
ASC000071,STR0017,Store Manager,2025-07-13,Terminated
ASC000072,STR0001,Customer Service,2019-08-29,Leave
ASC000073,STR0003,Cashier,2017-09-22,Terminated
ASC000074,STR0004,Store Manager,2021-08-23,Terminated
ASC000075,STR0007,Store Manager,2017-06-28,Leave
ASC000076,STR0006,Department Lead,2019-06-22,Terminated
ASC000077,STR0016,Stock Associate,2025-11-14,active 
ASC000078,STR0015,Stock Associate,2024-04-17,Leave
ASC000079,STR0007,Customer Service,2025-06-03,Active
ASC000080,STR0015,Stock Associate,2017-11-26,Terminated
ASC000081,STR0022,Department Lead,2024-10-19,Active
ASC000082,STR0003,Department Lead,2026-04-18,Terminated
ASC000083,STR0025,Cashier,2022-10-08,Active
ASC000084,STR0003,Cashier,2025-08-11,Active
ASC000085,STR0004,Store Manager,2020-09-16,Leave
ASC000086,STR0005,Cashier,2023-03-13,Terminated
ASC000087,STR0017,Store Manager,2025-10-10,Active
ASC000088,STR0023,Store Manager,2022-06-02,Active
ASC000089,STR0006,Cashier,2024-08-06,Leave
ASC000090,STR0025,Cashier,2025-10-13,Leave
ASC000091,STR0013,Customer Service,2018-08-31,Active
ASC000092,STR0012,Store Manager,2019-12-07,Active
