payment_id,transaction_id,payment_method,payment_status,payment_amount
PAY000000001,TXN000000001,Mobile Pay,Approved,231.83
PAY000000002,TXN000000002,Cash,Declined,190.75
PAY000000003,TXN000000003,Debit Card,Approved,184.76
PAY000000004,TXN000000004,Mobile Pay,Approved,307.25
PAY000000005,TXN000000005,Credit Card,Declined,341.81
PAY000000006,TXN000000006,credit card,approved ,398.00
PAY000000007,TXN000000007,Credit Card,Declined,61.77
PAY000000008,TXN000000008,credit card,Reversed,282.01
PAY000000009,TXN000000009,Cash,Reversed,262.20
PAY000000010,TXN000000010,Mobile Pay,Declined,56.40
PAY000000011,TXN000000011,Debit Card,approved ,195.61
PAY000000012,TXN000000012,Debit Card,Approved,280.40
PAY000000013,TXN000000013,Mobile Pay,Approved,202.55
PAY000000014,TXN000000014,Credit Card,Declined,235.86
PAY000000015,TXN000000015,credit card,Approved,318.42
PAY000000016,TXN000000016,Mobile Pay,Approved,356.62
PAY000000017,TXN000000017,Gift Card,Approved,140.57
PAY000000018,TXN000000018,Debit Card,Reversed,30.52
PAY000000019,TXN000000019,Debit Card,Approved,329.66
PAY000000020,TXN000000020,Credit Card,approved ,344.86
PAY000000021,TXN000000020,Gift Card,approved ,27.23
PAY000000022,TXN000000021,Mobile Pay,Approved,132.51
PAY000000023,TXN000000022,Credit Card,Approved,211.21
PAY000000024,TXN000000023,Gift Card,Reversed,244.29
PAY000000025,TXN000000024,Debit Card,Approved,465.62
PAY000000026,TXN000000025,Mobile Pay,Declined,252.88
PAY000000027,TXN000000026,Credit Card,Reversed,355.68
PAY000000028,TXN000000027,Gift Card,approved ,460.29
PAY000000029,TXN000000028,Debit Card,Approved,401.10
PAY000000030,TXN000000029,Gift Card,Approved,75.06
PAY000000031,TXN000000030,Gift Card,Declined,300.89
PAY000000032,TXN000000031,Gift Card,Approved,190.44
PAY000000033,TXN000000032,Cash,approved ,197.10
PAY000000034,TXN000000033,Mobile Pay,Approved,439.88
PAY000000035,TXN000000034,Credit Card,Reversed,349.16
PAY000000036,TXN000000035,Cash,Approved,110.25
PAY000000037,TXN000000036,Mobile Pay,Reversed,134.25
PAY000000038,TXN000000037,credit card,Reversed,54.21
