transaction_id,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id
TXN000000001,STR0016,REG012,ASC000283,CUST00001322,04/02/2026 20:32,SALE,Pickup,completed ,POS_B
TXN000000002,STR0009,REG026,ASC000245,CUST00000883,2026-05-16 13:18:59,VOID,Pickup,Completed,POS_B
TXN000000003,STR0012,REG022,ASC000313,CUST00000465,04/14/2026 11:04,SALE,Store,completed ,POS_B
TXN000000004,STR0013,REG019,ASC000435,CUST00000679,2026-05-11 07:52:53,VOID,Store,Suspended,POS_C
TXN000000005,STR0014,REG022,ASC000498,CUST00000469,2026-05-11 19:45:27,SALE,Store,Voided,POS_C
TXN000000006,STR0004,REG006,ASC000354,,05/05/2026 23:03,sale ,Store,Completed,POS_C
TXN000000007,STR0018,REG016,ASC000199,CUST00001593,2026-04-20 05:00:34,sale ,Store,completed ,POS_C
TXN000000008,STR0021,REG011,ASC000424,CUST00001755,2026-04-27 08:54:03,SALE,Store,Completed,POS_A
TXN000000009,STR0002,REG014,ASC000253,CUST00000842,05/28/2026 02:48,SALE,Pickup,completed ,POS_B
TXN000000010,STR0005,REG017,ASC000473,CUST00000456,2026-05-17 01:27:27,VOID,Store,Completed,POS_B
TXN000000011,STR0012,REG028,ASC000345,CUST00000415,05/11/2026 09:20,SALE,Pickup,completed ,POS_A
TXN000000012,STR0006,REG005,ASC000089,CUST00001028,04/28/2026 02:33,SALE,Store,Suspended,POS_A
TXN000000013,STR0012,REG005,ASC000069,,05/14/2026 02:19,SALE,Pickup,completed ,POS_B
TXN000000014,STR0021,REG015,ASC000210,CUST00001755,05/27/2026 21:22,SALE,Store,completed ,POS_C
TXN000000015,STR0016,REG016,ASC000100,CUST00000295,2026-04-03 07:19:47,sale ,Pickup,completed ,POS_B
TXN000000016,STR0022,REG019,ASC000278,CUST00001165,04/11/2026 01:46,VOID,Pickup,Completed,POS_C
TXN000000017,STR0021,REG028,ASC000326,CUST00000812,04/19/2026 19:03,SALE,Store,Suspended,POS_B
TXN000000018,STR0013,REG006,ASC000149,CUST00001229,2026-05-30 08:36:16,sale ,Pickup,Completed,POS_A
TXN000000019,STR0017,REG010,ASC000309,CUST00000027,2026-05-11 21:09:45,SALE,Pickup,Completed,POS_B
TXN000000020,STR0017,REG023,ASC000141,CUST00001742,2026-05-19 08:08:37,SALE,Store,Suspended,POS_A
TXN000000021,STR0010,REG003,ASC000408,,2026-05-05 04:18:38,sale ,Store,Suspended,POS_B
TXN000000022,STR0013,REG025,ASC000205,,05/25/2026 12:09,SALE,Store,Voided,POS_C
TXN000000023,STR0011,REG019,ASC000399,,05/01/2026 04:23,SALE,Pickup,Completed,POS_C
TXN000000024,STR0004,REG009,ASC000062,CUST00001610,2026-05-02 08:13:34,SALE,Pickup,Completed,POS_C
TXN000000025,STR0002,REG021,ASC000253,CUST00000800,2026-05-11 12:13:45,SALE,Store,Completed,POS_C
TXN000000026,STR0010,REG001,ASC000064,,2026-05-11 06:58:04,SALE,Store,completed ,POS_C
TXN000000027,STR0013,REG025,ASC000215,CUST00001796,05/07/2026 03:18,VOID,Store,Suspended,POS_C
TXN000000028,STR0025,REG005,ASC000465,CUST00000002,2026-05-28 10:22:38,sale ,Pickup,Suspended,POS_C
TXN000000029,STR0020,REG006,ASC000358,,2026-05-15 00:43:24,SALE,Store,Completed,POS_B
TXN000000030,STR0023,REG026,ASC000487,CUST00000991,2026-04-10 19:43:48,SALE,Store,Completed,POS_B
TXN000000031,STR0003,REG014,ASC000073,CUST00001397,2026-04-09 02:13:12,SALE,Pickup,Completed,POS_B
TXN000000032,STR0025,REG007,ASC000174,CUST00001794,2026-05-24 15:15:54,SALE,Pickup,Completed,POS_C
TXN000000033,STR0016,REG024,ASC000267,CUST00001646,2026-04-14 17:13:41,SALE,Store,Voided,POS_B
TXN000000034,STR0010,REG021,ASC000414,CUST00001196,05/22/2026 01:50,SALE,Store,Completed,POS_B
TXN000000035,STR0025,REG025,ASC000352,CUST00000681,04/13/2026 17:26,SALE,Store,completed ,POS_C
TXN000000036,STR0007,REG005,ASC000079,,2026-04-16 16:07:27,SALE,Store,completed ,POS_C
TXN000000037,STR0009,REG020,ASC000167,CUST00000154,2026-04-23 17:57:32,SALE,Store,Voided,POS_A
TXN000000038,STR0021,REG006,ASC000184,,05/30/2026 20:44,VOID,Store,Completed,POS_B
TXN000000039,STR0010,REG022,ASC000426,CUST00000894,04/28/2026 04:15,SALE,Pickup,Voided,POS_B
TXN000000040,STR0019,REG014,ASC000013,,2026-04-13 11:58:53,VOID,Pickup,Completed,POS_C
TXN000000041,STR0017,REG012,ASC000164,CUST00001296,04/06/2026 04:10,SALE,Store,completed ,POS_C
TXN000000042,STR0010,REG007,ASC000433,CUST00001641,2026-04-24 15:06:03,sale ,Store,Suspended,POS_B
TXN000000043,STR0015,REG018,ASC000212,CUST00000223,04/21/2026 21:33,SALE,Store,Completed,POS_B
TXN000000044,STR0024,REG008,ASC000337,CUST00000426,04/09/2026 02:03,sale ,Pickup,Voided,POS_B
TXN000000045,STR0021,REG024,ASC000184,CUST00001561,05/01/2026 14:42,VOID,Store,completed ,POS_B
TXN000000046,STR0007,REG007,ASC000198,,05/01/2026 06:17,sale ,Pickup,Suspended,POS_C
TXN000000047,STR0023,REG016,ASC000407,CUST00001295,2026-05-28 05:27:30,SALE,Pickup,Voided,POS_B
TXN000000048,STR0013,REG022,ASC000091,CUST00000550,04/09/2026 13:07,SALE,Store,completed ,POS_A
TXN000000049,STR0019,REG020,ASC000292,,05/28/2026 20:48,SALE,Pickup,completed ,POS_B
TXN000000050,STR0005,REG001,ASC000334,CUST00001750,04/18/2026 04:29,SALE,Store,completed ,POS_B
TXN000000051,STR0019,REG014,ASC000004,CUST00001194,05/15/2026 17:02,sale ,Store,Voided,POS_A
TXN000000052,STR0024,REG028,ASC000373,CUST00000182,2026-05-31 14:51:04,VOID,Pickup,Completed,POS_C
TXN000000053,STR0007,REG009,ASC000270,CUST00000757,2026-04-03 00:11:15,SALE,Store,completed ,POS_B
TXN000000054,STR0017,REG014,ASC000429,CUST00001024,05/30/2026 06:48,SALE,Store,Voided,POS_C
TXN000000055,STR0008,REG026,ASC000179,CUST00000595,05/22/2026 18:58,sale ,Pickup,Suspended,POS_A
TXN000000056,STR0009,REG020,ASC000178,CUST00000208,05/15/2026 03:07,SALE,Store,Completed,POS_A
TXN000000057,STR0003,REG026,ASC000067,CUST00000255,04/18/2026 12:24,SALE,Pickup,Voided,POS_A
TXN000000058,STR0012,REG004,ASC000069,CUST00001403,2026-05-27 09:55:14,sale ,Store,completed ,POS_B
TXN000000059,STR0024,REG023,ASC000225,CUST00000662,2026-04-21 16:24:45,SALE,Store,Voided,POS_A
TXN000000060,STR0003,REG012,ASC000481,CUST00001105,04/06/2026 04:39,SALE,Pickup,Completed,POS_A
TXN000000061,STR0003,REG011,ASC000193,CUST00001702,04/02/2026 11:19,SALE,Store,Voided,POS_C
TXN000000062,STR0017,REG022,ASC000024,CUST00001118,2026-04-29 04:49:15,sale ,Store,Completed,POS_C
TXN000000063,STR0014,REG023,ASC000266,CUST00000367,04/27/2026 20:30,VOID,Pickup,Completed,POS_C
TXN000000064,STR0004,REG015,ASC000240,CUST00000627,2026-04-10 04:31:20,SALE,Store,Completed,POS_B
TXN000000065,STR0004,REG010,ASC000074,CUST00001046,2026-04-11 04:04:45,SALE,Store,Completed,POS_A
TXN000000066,STR0002,REG011,ASC000114,,2026-05-09 05:30:49,SALE,Store,Completed,POS_A
TXN000000067,STR0011,REG012,ASC000325,,2026-05-04 21:07:37,SALE,Store,Completed,POS_B
TXN000000068,STR0024,REG001,ASC000418,,2026-04-17 21:17:34,VOID,Store,Completed,POS_B
TXN000000069,STR0020,REG027,ASC000284,CUST00000098,2026-04-27 22:32:07,sale ,Store,completed ,POS_C
TXN000000070,STR0006,REG020,ASC000319,CUST00001602,04/17/2026 20:15,SALE,Store,completed ,POS_C
TXN000000071,STR0016,REG010,ASC000152,CUST00000446,05/25/2026 06:24,SALE,Store,Suspended,POS_A
TXN000000072,STR0004,REG010,ASC000074,CUST00001328,2026-04-17 10:58:25,sale ,Store,Completed,POS_A
TXN000000073,STR0021,REG009,ASC000268,CUST00001330,2026-04-03 07:00:08,SALE,Pickup,Completed,POS_A
TXN000000074,STR0004,REG006,ASC000085,CUST00001523,05/02/2026 12:02,SALE,Pickup,Voided,POS_A
TXN000000075,STR0005,REG015,ASC000343,CUST00001454,2026-05-03 02:24:34,SALE,Pickup,Completed,POS_C
TXN000000076,STR0024,REG011,ASC000340,CUST00000202,2026-05-07 20:29:59,VOID,Pickup,Completed,POS_A
TXN000000077,STR0025,REG022,ASC000464,CUST00000158,2026-04-08 21:09:12,SALE,Pickup,completed ,POS_B
TXN000000078,STR0013,REG016,ASC000437,CUST00000896,2026-04-15 14:34:11,SALE,Store,Suspended,POS_C
