transaction_line_id,transaction_id,line_number,product_id,quantity,unit_price,regular_price,promotion_id,coupon_amount,tax_amount,line_status,valid_values
TL0000000001,TXN000000001,1,SKU0000410,,249.43,249.43,,1.0,0.0,Sold,False
TL0000000002,TXN000000002,1,SKU0000115,1.0,13.76,14.48,,0.0,1.24,Voided,True
TL0000000003,TXN000000002,2,SKU0000201,1.0,328.43,345.72,,0.0,29.56,Sold,True
TL0000000004,TXN000000002,3,SKU0000336,4.0,404.16,505.2,,0.0,145.5,Sold,True
TL0000000005,TXN000000002,4,SKU0000042,2.0,125.2,131.79,PRM00051,5.0,22.54,Sold,True
TL0000000006,TXN000000002,5,SKU0000393,1.0,436.58,485.09,,2.0,39.29,Voided,True
TL0000000007,TXN000000003,1,SKU0000427,2.0,863.97,863.97,,0.0,0.0,Sold,True
TL0000000008,TXN000000003,2,SKU0000130,,583.42,686.38,,0.0,52.51,Sold,False
TL0000000009,TXN000000003,3,SKU0000199,3.0,46.13,46.13,,0.0,9.69,Sold,True
TL0000000010,TXN000000003,4,SKU0000098,3.0,58.75,58.75,,1.0,8.81,Sold,True
TL0000000011,TXN000000003,5,SKU0000135,1.0,78.16,78.16,,2.0,0.0,Sold,True
TL0000000012,TXN000000004,1,SKU0000559,,394.3,492.88,,0.0,0.0,Voided,False
TL0000000013,TXN000000004,2,SKU0000186,1.0,368.53,368.53,,0.0,25.8,Sold,True
TL0000000014,TXN000000004,3,SKU0000462,2.0,37.39,46.74,,0.0,5.23,Voided,True
TL0000000015,TXN000000004,4,SKU0000132,-1.0,72.62,72.62,,2.0,0.0,Sold,False
TL0000000016,TXN000000004,5,SKU0000526,3.0,317.64,317.64,,0.0,0.0,Sold,True
TL0000000017,TXN000000005,1,SKU0000150,1.0,1180.75,1180.75,,0.0,106.27,Voided,True
TL0000000018,TXN000000006,1,SKU0000038,1.0,914.63,914.63,,0.0,64.02,Sold,True
TL0000000019,TXN000000006,2,SKU0000300,,574.45,604.68,,0.0,28.72,Sold,False
TL0000000020,TXN000000006,3,SKU0000522,4.0,130.1,130.1,,2.0,36.43,Voided,True
TL0000000021,TXN000000006,4,SKU0000171,4.0,442.68,442.68,,5.0,0.0,Voided,True
TL0000000022,TXN000000007,1,SKU0000226,5.0,212.68,212.68,,1.0,0.0,Voided,True
TL0000000023,TXN000000007,2,SKU0000079,-1.0,633.93,745.8,,5.0,0.0,Sold,False
TL0000000024,TXN000000007,3,SKU0000287,1.0,200.59,200.59,,0.0,0.0,Voided,True
TL0000000025,TXN000000007,4,SKU0000206,2.0,548.65,548.65,,0.0,76.81,Sold,True
