transaction_id,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id,transaction_date
TXN000000001,STR0016,REG012,ASC000283,CUST00001322,2026-04-02 20:32:00,SALE,Pickup,Completed,POS_B,2026-04-02
TXN000000002,STR0009,REG026,ASC000245,CUST00000883,,VOID,Pickup,Completed,POS_B,
TXN000000003,STR0012,REG022,ASC000313,CUST00000465,2026-04-14 11:04:00,SALE,Store,Completed,POS_B,2026-04-14
TXN000000004,STR0013,REG019,ASC000435,CUST00000679,,VOID,Store,Suspended,POS_C,
TXN000000005,STR0014,REG022,ASC000498,CUST00000469,,SALE,Store,Voided,POS_C,
TXN000000006,STR0004,REG006,ASC000354,,2026-05-05 23:03:00,SALE,Store,Completed,POS_C,2026-05-05
TXN000000007,STR0018,REG016,ASC000199,CUST00001593,,SALE,Store,Completed,POS_C,
TXN000000008,STR0021,REG011,ASC000424,CUST00001755,,SALE,Store,Completed,POS_A,
TXN000000009,STR0002,REG014,ASC000253,CUST00000842,2026-05-28 02:48:00,SALE,Pickup,Completed,POS_B,2026-05-28
TXN000000010,STR0005,REG017,ASC000473,CUST00000456,,VOID,Store,Completed,POS_B,
TXN000000011,STR0012,REG028,ASC000345,CUST00000415,2026-05-11 09:20:00,SALE,Pickup,Completed,POS_A,2026-05-11
TXN000000012,STR0006,REG005,ASC000089,CUST00001028,2026-04-28 02:33:00,SALE,Store,Suspended,POS_A,2026-04-28
TXN000000013,STR0012,REG005,ASC000069,,2026-05-14 02:19:00,SALE,Pickup,Completed,POS_B,2026-05-14
TXN000000014,STR0021,REG015,ASC000210,CUST00001755,2026-05-27 21:22:00,SALE,Store,Completed,POS_C,2026-05-27
TXN000000015,STR0016,REG016,ASC000100,CUST00000295,,SALE,Pickup,Completed,POS_B,
TXN000000016,STR0022,REG019,ASC000278,CUST00001165,2026-04-11 01:46:00,VOID,Pickup,Completed,POS_C,2026-04-11
TXN000000017,STR0021,REG028,ASC000326,CUST00000812,2026-04-19 19:03:00,SALE,Store,Suspended,POS_B,2026-04-19
TXN000000018,STR0013,REG006,ASC000149,CUST00001229,,SALE,Pickup,Completed,POS_A,
TXN000000019,STR0017,REG010,ASC000309,CUST00000027,,SALE,Pickup,Completed,POS_B,
TXN000000020,STR0017,REG023,ASC000141,CUST00001742,,SALE,Store,Suspended,POS_A,
TXN000000021,STR0010,REG003,ASC000408,,,SALE,Store,Suspended,POS_B,
TXN000000022,STR0013,REG025,ASC000205,,2026-05-25 12:09:00,SALE,Store,Voided,POS_C,2026-05-25
