return_id,original_transaction_id,transaction_line_id,store_id,product_id,return_date,return_qty,refund_amount,return_reason,return_status
RET00000001,TXN000002830,TL0000009781,STR0007,SKU0000386,2026-04-15,1.0,0.0,Changed Mind,Completed
RET00000002,TXN000000520,TL0000001795,STR0024,SKU0000544,2026-05-25,1.0,0.0,Damaged,Completed
RET00000003,TXN000004685,TL0000016380,STR0002,SKU0000344,2026-04-11,2.0,0.0,Price Adjustment,Completed
RET00000004,TXN000005975,TL0000020994,STR0025,SKU0000190,2026-04-11,2.0,0.0,Damaged,Completed
RET00000005,TXN000003258,TL0000011274,STR0004,SKU0000208,2026-05-08,3.0,112.97,Wrong Item,Rejected
RET00000006,TXN000003832,TL0000013355,STR0017,SKU0000459,2026-04-20,3.0,187.33,Defective,Completed
RET00000007,TXN000005260,TL0000018465,STR0022,SKU0000059,2026-04-13,3.0,0.0,Wrong Item,Rejected
RET00000008,TXN000002283,TL0000007924,STR0001,SKU0000442,2026-04-08,3.0,0.0,Changed Mind,Completed
RET00000009,TXN000006775,TL0000023753,STR0009,SKU0000100,2026-05-03,,0.0,Price Adjustment,Pending
RET00000010,TXN000006469,TL0000022715,STR0006,SKU0000172,2026-06-08,1.0,0.0,Defective,Rejected
RET00000011,TXN000007247,TL0000025354,STR0010,SKU0000073,2026-05-19,3.0,0.0,Changed Mind,Pending
RET00000012,TXN000001941,TL0000006770,STR0012,SKU0000333,2026-04-18,1.0,0.0,Wrong Item,Completed
RET00000013,TXN000001284,TL0000004461,STR0014,SKU0000240,2026-06-08,2.0,121.93,Wrong Item,Pending
RET00000014,TXN000001787,TL0000006239,STR0024,SKU0000062,2026-05-27,1.0,123.26,Defective,Rejected
RET00000015,TXN000005861,TL0000020610,STR0010,SKU0000226,2026-05-04,1.0,188.01,Damaged,Completed
RET00000016,TXN000007071,TL0000024733,STR0020,SKU0000436,2026-04-16,,194.09,Defective,Pending
RET00000017,TXN000007252,TL0000025368,STR0003,SKU0000541,2026-05-23,1.0,144.85,Damaged,Completed
RET00000018,TXN000006199,TL0000021806,STR0015,SKU0000413,2026-05-10,3.0,0.0,Changed Mind,Pending
RET00000019,TXN000007528,TL_UNKNOWN,STR0011,SKU0000085,2026-04-27,1.0,0.0,Changed Mind,Rejected
RET00000020,TXN000006079,TL0000021380,STR0001,SKU0000162,2026-04-06,1.0,0.0,Defective,Completed
RET00000021,TXN000002455,TL0000008502,STR0008,SKU0000304,2026-06-04,3.0,183.31,Damaged,Pending
RET00000022,TXN000005806,TL0000020400,STR0008,SKU0000442,2026-05-25,1.0,0.0,Price Adjustment,Pending
RET00000023,TXN000002061,TL0000007175,STR0004,SKU0000404,2026-04-24,1.0,174.82,Changed Mind,Pending
RET00000024,TXN000004756,TL0000016636,STR0025,SKU0000041,2026-05-10,1.0,177.63,Changed Mind,Rejected
RET00000025,TXN000007706,TL0000027002,STR0001,SKU0000199,2026-05-22,1.0,0.0,Damaged,Pending
RET00000026,TXN000007431,TL0000026013,STR0019,SKU0000472,2026-06-06,3.0,0.0,Price Adjustment,Completed
RET00000027,TXN000004816,TL0000016867,STR0018,SKU0000113,2026-04-05,3.0,0.0,Damaged,Completed
RET00000028,TXN000006269,TL0000022051,STR0019,SKU0000369,2026-04-26,2.0,99.57,Price Adjustment,Pending
RET00000029,TXN000007769,TL0000027257,STR0021,SKU0000428,2026-04-21,1.0,162.77,Defective,Rejected
RET00000030,TXN000002903,TL0000010036,STR0006,SKU0000501,2026-05-29,3.0,0.0,Defective,Pending
RET00000031,TXN000005046,TL0000017712,STR0002,SKU0000182,2026-05-20,3.0,124.72,Defective,Rejected
RET00000032,TXN000002246,TL0000007814,STR0004,SKU0000519,2026-05-07,,93.05,Defective,Pending
RET00000033,TXN000006017,TL0000021162,STR0008,SKU0000426,2026-05-06,1.0,0.0,Price Adjustment,Pending
RET00000034,TXN000004577,TL0000016009,STR0009,SKU0000577,2026-05-16,,0.0,Changed Mind,Pending
RET00000035,TXN000002692,TL0000009296,STR0010,SKU0000253,2026-05-01,,0.0,Damaged,Completed
RET00000036,TXN000003169,TL0000010955,STR0014,SKU0000574,2026-05-07,,0.0,Changed Mind,Completed
RET00000037,TXN000001424,TL0000004974,STR0016,SKU0000567,2026-04-26,,126.5,Defective,Completed
RET00000038,TXN000005653,TL0000019850,STR0013,SKU0000449,2026-04-07,1.0,193.14,Price Adjustment,Completed
RET00000039,TXN000007409,TL0000025922,STR0008,SKU0000264,2026-04-18,,0.0,Changed Mind,Completed
RET00000040,TXN000003615,TL0000012587,STR0006,SKU0000339,2026-04-21,3.0,109.62,Wrong Item,Pending
RET00000041,TXN000003268,TL0000011306,STR0006,SKU0000167,2026-04-05,,134.27,Defective,Completed
RET00000042,TXN000005680,TL0000019957,STR0014,SKU0000396,2026-05-03,,0.0,Defective,Pending
RET00000043,TXN000000551,TL0000001894,STR0022,SKU0000553,2026-05-01,1.0,0.0,Wrong Item,Pending
RET00000044,TXN000004315,TL0000015060,STR0022,SKU0000342,2026-05-01,1.0,0.0,Wrong Item,Rejected
RET00000045,TXN000000431,TL0000001505,STR0012,SKU0000046,2026-05-05,3.0,0.0,Damaged,Pending
RET00000046,TXN000002991,TL0000010357,STR0014,SKU0000103,2026-05-20,1.0,0.0,Defective,Pending
RET00000047,TXN000003986,TL0000013888,STR0020,SKU0000396,2026-04-17,,0.0,Changed Mind,Rejected
RET00000048,TXN000002789,TL0000009642,STR0006,SKU0000216,2026-04-10,,92.2,Changed Mind,Completed
RET00000049,TXN000000457,TL0000001584,STR0009,SKU0000358,2026-05-07,1.0,0.0,Damaged,Completed
RET00000050,TXN000004926,TL0000017291,STR0025,SKU0000183,2026-04-21,2.0,80.51,Price Adjustment,Completed
RET00000051,TXN000002865,TL0000009895,STR0017,SKU0000495,2026-04-14,1.0,0.0,Wrong Item,Completed
RET00000052,TXN000001397,TL0000004886,STR0014,SKU0000191,2026-04-07,1.0,149.75,Defective,Rejected
RET00000053,TXN000001278,TL0000004435,STR0009,SKU0000459,2026-06-10,2.0,0.0,Changed Mind,Pending
RET00000054,TXN000002257,TL0000007846,STR0005,SKU0000143,2026-05-27,3.0,0.0,Wrong Item,Completed
RET00000055,TXN000007680,TL0000026918,STR0019,SKU0000247,2026-04-14,1.0,87.82,Damaged,Completed
RET00000056,TXN000001006,TL0000003498,STR0007,SKU0000170,2026-05-11,1.0,25.01,Defective,Completed
RET00000057,TXN000001754,TL0000006144,STR0025,SKU0000552,2026-04-13,,0.0,Changed Mind,Rejected
RET00000058,TXN000002813,TL0000009719,STR0024,SKU0000114,2026-05-06,,0.0,Wrong Item,Completed
RET00000059,TXN000002050,TL0000007143,STR0018,SKU0000077,2026-06-01,1.0,0.0,Defective,Completed
RET00000060,TXN000007047,TL0000024655,STR0019,SKU0000063,2026-05-18,3.0,152.21,Changed Mind,Completed
RET00000061,TXN000000587,TL0000002023,STR0001,SKU0000176,2026-05-16,,0.0,Price Adjustment,Completed
RET00000062,TXN000005471,TL0000019229,STR0004,SKU0000261,2026-04-06,,0.0,Price Adjustment,Completed
RET00000063,TXN000001557,TL0000005422,STR0014,SKU0000508,2026-04-18,2.0,69.33,Wrong Item,Completed
RET00000064,TXN000001802,TL0000006288,STR0015,SKU0000120,2026-05-31,2.0,0.0,Defective,Pending
RET00000065,TXN000002411,TL0000008370,STR0011,SKU0000251,2026-06-09,3.0,0.0,Wrong Item,Pending
RET00000066,TXN000002362,TL0000008207,STR0003,SKU0000521,2026-04-28,2.0,0.0,Changed Mind,Rejected
RET00000067,TXN000002034,TL0000007095,STR0003,SKU0000556,2026-04-15,1.0,0.0,Price Adjustment,Completed
RET00000068,TXN000005387,TL0000018924,STR0019,SKU0000397,2026-06-08,1.0,176.9,Defective,Rejected
RET00000069,TXN000007852,TL0000027567,STR0004,SKU0000421,2026-04-14,,0.0,Wrong Item,Completed
RET00000070,TXN000006426,TL0000022563,STR0006,SKU0000243,2026-05-31,3.0,0.0,Price Adjustment,Completed
RET00000071,TXN000005044,TL0000017706,STR0001,SKU0000429,2026-04-29,1.0,82.88,Price Adjustment,Rejected
RET00000072,TXN000002969,TL0000010275,STR0023,SKU0000321,2026-06-05,,0.0,Damaged,Completed
RET00000073,TXN000000197,TL0000000696,STR0004,SKU0000519,2026-05-29,,0.0,Price Adjustment,Completed
RET00000074,TXN000000230,TL0000000805,STR0006,SKU0000578,2026-04-11,,0.0,Damaged,Completed
RET00000075,TXN000007538,TL0000026414,STR0008,SKU0000024,2026-04-26,,0.0,Defective,Rejected
RET00000076,TXN000004549,TL0000015914,STR0007,SKU0000253,2026-06-03,3.0,0.0,Defective,Rejected
RET00000077,TXN000001295,TL0000004495,STR0020,SKU0000557,2026-05-19,2.0,114.76,Price Adjustment,Rejected
RET00000078,TXN000002448,TL0000008484,STR0020,SKU0000133,2026-04-22,2.0,0.0,Changed Mind,Pending
RET00000079,TXN000005398,TL0000018961,STR0001,SKU0000513,2026-05-14,,0.0,Damaged,Pending
RET00000080,TXN000004242,TL0000014790,STR0012,SKU0000324,2026-05-16,3.0,28.89,Defective,Completed
RET00000081,TXN000002731,TL0000009440,STR0025,SKU0000464,2026-05-18,,188.6,Wrong Item,Rejected
RET00000082,TXN000007590,TL0000026607,STR0021,SKU0000485,2026-06-03,,0.0,Price Adjustment,Rejected
RET00000083,TXN000003641,TL0000012678,STR0019,SKU0000418,2026-05-02,1.0,0.0,Price Adjustment,Completed
RET00000084,TXN000005380,TL0000018890,STR0018,SKU0000309,2026-04-17,2.0,0.0,Changed Mind,Completed
RET00000085,TXN000001637,TL0000005727,STR0012,SKU0000419,2026-06-03,1.0,0.0,Defective,Completed
RET00000086,TXN000004405,TL0000015362,STR0006,SKU0000106,2026-04-10,1.0,0.0,Damaged,Pending
RET00000087,TXN000006089,TL0000021424,STR0024,SKU0000155,2026-06-09,3.0,0.0,Damaged,Rejected
RET00000088,TXN000005973,TL0000020984,STR0018,SKU0000309,2026-06-06,3.0,0.0,Defective,Completed
RET00000089,TXN000007235,TL0000025308,STR0004,SKU0000382,2026-05-28,3.0,11.08,Price Adjustment,Completed
RET00000090,TXN000004392,TL0000015327,STR0024,SKU0000169,2026-04-18,3.0,0.0,Price Adjustment,Completed
RET00000091,TXN000001183,TL0000004115,STR0002,SKU0000288,2026-06-02,3.0,0.0,Price Adjustment,Pending
RET00000092,TXN000005157,TL0000018114,STR0008,SKU0000022,2026-04-15,2.0,185.1,Wrong Item,Rejected
RET00000093,TXN000005477,TL0000019256,STR0012,SKU0000017,2026-06-06,3.0,80.34,Price Adjustment,Completed
RET00000094,TXN000000840,TL0000002911,STR0016,SKU0000448,2026-05-31,1.0,0.0,Changed Mind,Completed
RET00000095,TXN000001427,TL0000004984,STR0004,SKU0000430,2026-05-04,1.0,104.33,Changed Mind,Completed
RET00000096,TXN000006009,TL0000021130,STR0018,SKU0000340,2026-06-01,1.0,0.0,Defective,Completed
RET00000097,TXN000004548,TL0000015907,STR0016,SKU0000545,2026-04-18,3.0,176.78,Changed Mind,Rejected
RET00000098,TXN000000221,TL0000000780,STR0019,SKU0000501,2026-04-29,,0.0,Damaged,Completed
RET00000099,TXN000006172,TL0000021721,STR0021,SKU0000460,2026-05-06,1.0,8.3,Wrong Item,Completed
RET00000100,TXN000002784,TL0000009632,STR0005,SKU0000114,2026-05-08,,0.0,Defective,Completed
RET00000101,TXN000001917,TL0000006688,STR0007,SKU0000114,2026-06-04,,117.67,Wrong Item,Completed
RET00000102,TXN000004054,TL0000014156,STR0024,SKU0000312,2026-04-22,1.0,0.0,Changed Mind,Completed
RET00000103,TXN000002079,TL0000007242,STR0020,SKU0000262,2026-06-03,2.0,0.0,Wrong Item,Rejected
RET00000104,TXN000004010,TL0000013986,STR0018,SKU0000494,2026-04-20,1.0,61.29,Wrong Item,Pending
RET00000105,TXN000004675,TL0000016346,STR0010,SKU0000136,2026-05-15,2.0,0.0,Wrong Item,Rejected
RET00000106,TXN000007417,TL0000025961,STR0014,SKU0000465,2026-06-02,3.0,191.05,Changed Mind,Completed
RET00000107,TXN000007901,TL0000027722,STR0012,SKU0000156,2026-04-13,3.0,0.0,Price Adjustment,Rejected
RET00000108,TXN000007625,TL0000026723,STR0023,SKU0000011,2026-06-02,1.0,0.0,Defective,Completed
RET00000109,TXN000007090,TL0000024799,STR0025,SKU0000036,2026-05-23,1.0,0.0,Wrong Item,Rejected
RET00000110,TXN000003252,TL0000011251,STR0014,SKU0000318,2026-05-27,1.0,0.0,Wrong Item,Completed
RET00000111,TXN000000457,TL0000001587,STR0007,SKU0000068,2026-05-24,,0.0,Wrong Item,Completed
RET00000112,TXN000006860,TL0000024032,STR0025,SKU0000021,2026-05-02,,0.0,Wrong Item,Completed
RET00000113,TXN000007507,TL0000026291,STR0025,SKU0000334,2026-04-18,,0.0,Defective,Completed
RET00000114,TXN000004575,TL0000016001,STR0012,SKU0000260,2026-05-17,3.0,125.99,Price Adjustment,Completed
RET00000115,TXN000002770,TL0000009583,STR0011,SKU0000333,2026-06-03,,0.0,Damaged,Completed
RET00000116,TXN000006968,TL0000024402,STR0015,SKU0000466,2026-04-15,1.0,46.04,Changed Mind,Completed
RET00000117,TXN000000879,TL0000003062,STR0002,SKU0000524,2026-04-15,2.0,0.0,Changed Mind,Completed
RET00000118,TXN000000440,TL0000001537,STR0008,SKU0000276,2026-05-23,,0.0,Changed Mind,Pending
RET00000119,TXN000002102,TL0000007326,STR0011,SKU0000145,2026-04-11,2.0,0.0,Wrong Item,Completed
RET00000120,TXN000003176,TL0000010983,STR0025,SKU0000470,2026-05-27,3.0,0.0,Wrong Item,Completed
RET00000121,TXN000006689,TL0000023461,STR0007,SKU0000529,2026-05-10,,0.0,Wrong Item,Completed
RET00000122,TXN000001788,TL0000006245,STR0008,SKU0000076,2026-05-03,,0.0,Wrong Item,Completed
RET00000123,TXN000005285,TL0000018548,STR0021,SKU0000431,2026-04-07,,0.0,Changed Mind,Pending
RET00000124,TXN000004259,TL0000014850,STR0012,SKU0000370,2026-05-24,1.0,98.4,Defective,Pending
RET00000125,TXN000006479,TL0000022751,STR0023,SKU0000092,2026-04-11,1.0,0.0,Damaged,Completed
RET00000126,TXN000000188,TL0000000664,STR0006,SKU0000270,2026-05-14,1.0,164.09,Price Adjustment,Rejected
RET00000127,TXN000002373,TL0000008246,STR0018,SKU0000023,2026-04-13,2.0,127.81,Damaged,Completed
RET00000128,TXN000002619,TL0000009072,STR0005,SKU0000184,2026-04-07,,0.0,Defective,Completed
RET00000129,TXN000004146,TL0000014481,STR0025,SKU0000546,2026-05-06,1.0,0.0,Damaged,Pending
RET00000130,TXN000003008,TL0000010430,STR0011,SKU0000315,2026-05-24,1.0,0.0,Changed Mind,Rejected
RET00000131,TXN000003322,TL0000011497,STR0020,SKU0000094,2026-05-04,,117.57,Damaged,Completed
RET00000132,TXN000004826,TL0000016901,STR0003,SKU0000563,2026-05-11,3.0,0.0,Wrong Item,Completed
RET00000133,TXN000004458,TL0000015569,STR0019,SKU0000539,2026-05-06,1.0,0.0,Changed Mind,Rejected
RET00000134,TXN000006460,TL0000022689,STR0005,SKU0000262,2026-04-10,3.0,0.0,Damaged,Completed
RET00000135,TXN000001618,TL0000005657,STR0005,SKU0000279,2026-04-12,2.0,0.0,Damaged,Pending
RET00000136,TXN000002211,TL0000007687,STR0004,SKU0000495,2026-05-14,2.0,157.5,Damaged,Completed
RET00000137,TXN000001533,TL0000005339,STR0016,SKU0000269,2026-04-16,3.0,0.0,Price Adjustment,Completed
RET00000138,TXN000006705,TL0000023514,STR0004,SKU0000506,2026-05-11,3.0,0.0,Defective,Completed
RET00000139,TXN000006846,TL0000023980,STR0015,SKU0000006,2026-05-13,1.0,0.0,Defective,Pending
RET00000140,TXN000007806,TL0000027397,STR0012,SKU0000364,2026-04-08,1.0,137.78,Price Adjustment,Rejected
RET00000141,TXN000004455,TL0000015551,STR0018,SKU0000472,2026-05-14,3.0,0.0,Price Adjustment,Completed
RET00000142,TXN000007589,TL0000026605,STR0022,SKU0000576,2026-04-10,1.0,0.0,Price Adjustment,Pending
RET00000143,TXN000004971,TL0000017454,STR0013,SKU_UNKNOWN,2026-04-16,,0.0,Damaged,Completed
RET00000144,TXN000003169,TL0000010953,STR0015,SKU0000175,2026-04-29,1.0,145.29,Damaged,Rejected
RET00000145,TXN000001336,TL0000004646,STR0022,SKU0000319,2026-04-28,2.0,0.0,Defective,Pending
RET00000146,TXN000006678,TL0000023423,STR0005,SKU0000081,2026-04-29,1.0,0.0,Damaged,Rejected
RET00000147,TXN000004876,TL0000017105,STR0008,SKU0000213,2026-05-27,3.0,0.0,Price Adjustment,Rejected
RET00000148,TXN000004337,TL0000015138,STR0017,SKU0000207,2026-05-29,,0.0,Defective,Completed
RET00000149,TXN000004708,TL0000016461,STR0014,SKU0000026,2026-04-14,3.0,0.0,Defective,Rejected
RET00000150,TXN000006889,TL0000024134,STR0023,SKU0000102,2026-04-10,3.0,170.3,Changed Mind,Rejected
RET00000151,TXN000003226,TL0000011160,STR0012,SKU0000170,2026-05-24,3.0,61.1,Damaged,Pending
RET00000152,TXN000001143,TL0000003981,STR0021,SKU0000020,2026-05-17,3.0,0.0,Damaged,Rejected
RET00000153,TXN000006296,TL0000022137,STR0007,SKU0000340,2026-04-13,1.0,0.0,Damaged,Pending
RET00000154,TXN000005657,TL0000019865,STR0004,SKU0000573,2026-04-25,1.0,118.46,Defective,Rejected
RET00000155,TXN000006815,TL0000023875,STR0015,SKU0000460,2026-06-10,1.0,163.46,Changed Mind,Completed
RET00000156,TXN000006636,TL0000023267,STR0005,SKU0000214,2026-04-19,3.0,0.0,Changed Mind,Completed
RET00000157,TXN000006988,TL0000024464,STR0018,SKU0000083,2026-05-06,2.0,0.0,Defective,Rejected
RET00000158,TXN000002063,TL0000007188,STR0022,SKU0000212,2026-04-30,1.0,0.0,Wrong Item,Completed
RET00000159,TXN000001383,TL0000004835,STR0015,SKU0000130,2026-05-18,,0.0,Damaged,Pending
RET00000160,TXN000003104,TL0000010735,STR0015,SKU0000227,2026-04-07,1.0,0.0,Changed Mind,Completed
RET00000161,TXN000003490,TL0000012136,STR0007,SKU0000315,2026-05-17,,0.0,Wrong Item,Pending
RET00000162,TXN000005616,TL0000019716,STR0001,SKU0000023,2026-04-06,,0.0,Changed Mind,Rejected
RET00000163,TXN000000268,TL0000000930,STR0023,SKU0000162,2026-04-16,1.0,78.7,Price Adjustment,Completed
RET00000164,TXN000005340,TL0000018747,STR0019,SKU0000249,2026-05-03,3.0,21.95,Changed Mind,Rejected
RET00000165,TXN000005060,TL0000017765,STR0004,SKU0000044,2026-05-12,3.0,180.51,Wrong Item,Completed
RET00000166,TXN000004151,TL0000014495,STR0004,SKU0000312,2026-04-30,1.0,0.0,Wrong Item,Completed
RET00000167,TXN000004031,TL0000014069,STR0016,SKU0000094,2026-05-09,1.0,0.0,Damaged,Pending
RET00000168,TXN000005518,TL0000019379,STR0018,SKU0000533,2026-05-15,3.0,0.0,Damaged,Completed
RET00000169,TXN000001153,TL0000004024,STR0004,SKU0000124,2026-05-17,,0.0,Changed Mind,Rejected
RET00000170,TXN000006327,TL0000022248,STR0025,SKU0000533,2026-06-02,1.0,0.0,Wrong Item,Completed
RET00000171,TXN000005468,TL0000019216,STR0012,SKU0000445,2026-04-19,1.0,0.0,Wrong Item,Completed
RET00000172,TXN000007334,TL0000025676,STR0017,SKU0000385,2026-04-16,,12.73,Damaged,Completed
RET00000173,TXN000007896,TL0000027704,STR0004,SKU0000361,2026-05-11,2.0,192.01,Damaged,Completed
RET00000174,TXN000003957,TL0000013787,STR0013,SKU0000347,2026-05-13,2.0,186.96,Defective,Completed
RET00000175,TXN000005730,TL0000020141,STR0016,SKU0000071,2026-04-29,2.0,120.98,Defective,Rejected
RET00000176,TXN000001086,TL0000003795,STR0008,SKU0000198,2026-04-09,,0.0,Changed Mind,Pending
RET00000177,TXN000006712,TL0000023545,STR0012,SKU0000556,2026-06-04,1.0,0.0,Wrong Item,Pending
RET00000178,TXN000004905,TL0000017218,STR0003,SKU0000382,2026-04-22,1.0,0.0,Changed Mind,Completed
RET00000179,TXN000007136,TL0000024971,STR0003,SKU0000163,2026-05-05,1.0,0.0,Changed Mind,Completed
RET00000180,TXN000006896,TL0000024161,STR0016,SKU0000035,2026-06-07,1.0,52.53,Changed Mind,Rejected
RET00000181,TXN000000627,TL_UNKNOWN,STR0025,SKU0000478,2026-04-19,3.0,0.0,Damaged,Rejected
RET00000182,TXN000007845,TL0000027539,STR0002,SKU0000173,2026-05-07,1.0,0.0,Defective,Completed
RET00000183,TXN000004573,TL0000015997,STR0007,SKU0000337,2026-05-02,1.0,0.0,Damaged,Rejected
RET00000184,TXN000006777,TL0000023764,STR0021,SKU0000068,2026-05-16,2.0,138.98,Defective,Pending
RET00000185,TXN000003148,TL0000010890,STR0019,SKU0000513,2026-04-20,,0.0,Defective,Pending
RET00000186,TXN000004606,TL0000016096,STR0014,SKU0000008,2026-05-10,1.0,0.0,Damaged,Completed
RET00000187,TXN000007479,TL0000026179,STR0023,SKU0000480,2026-04-08,1.0,65.09,Damaged,Completed
RET00000188,TXN000002330,TL0000008094,STR0014,SKU0000176,2026-05-29,,0.0,Damaged,Completed
RET00000189,TXN000001150,TL0000004012,STR0022,SKU0000036,2026-04-10,1.0,99.16,Price Adjustment,Completed
RET00000190,TXN000002235,TL0000007770,STR0004,SKU0000031,2026-06-02,1.0,0.0,Defective,Completed
RET00000191,TXN000006877,TL0000024092,STR0015,SKU0000234,2026-04-12,1.0,0.0,Wrong Item,Completed
RET00000192,TXN000004567,TL0000015976,STR0016,SKU0000474,2026-04-21,,0.0,Damaged,Pending
RET00000193,TXN000001133,TL0000003945,STR0001,SKU0000509,2026-05-10,,0.0,Wrong Item,Completed
RET00000194,TXN000001969,TL_UNKNOWN,STR0002,SKU0000100,2026-05-14,3.0,5.3,Changed Mind,Rejected
RET00000195,TXN000007167,TL0000025073,STR0019,SKU0000431,2026-04-15,1.0,87.27,Price Adjustment,Rejected
RET00000196,TXN000004266,TL0000014878,STR0002,SKU0000338,2026-04-18,2.0,0.0,Wrong Item,Pending
