check_name,table_name,issue_count,severity
stores_raw_to_silver_delta,stores,0,info
suppliers_raw_to_silver_delta,suppliers,0,info
products_raw_to_silver_delta,products,1,info
customers_raw_to_silver_delta,customers,1,info
associates_raw_to_silver_delta,associates,0,info
promotions_raw_to_silver_delta,promotions,0,info
calendar_raw_to_silver_delta,calendar,0,info
pos_transactions_raw_to_silver_delta,pos_transactions,1,info
pos_transaction_lines_raw_to_silver_delta,pos_transaction_lines,1,info
payments_raw_to_silver_delta,payments,0,info
online_orders_raw_to_silver_delta,online_orders,0,info
online_order_lines_raw_to_silver_delta,online_order_lines,0,info
shipments_raw_to_silver_delta,shipments,0,info
returns_raw_to_silver_delta,returns,0,info
inventory_snapshots_raw_to_silver_delta,inventory_snapshots,6,info
inventory_adjustments_raw_to_silver_delta,inventory_adjustments,0,info
price_cdc_raw_to_silver_delta,price_cdc,0,info
customer_cdc_raw_to_silver_delta,customer_cdc,0,info
products_invalid_supplier,products,3,warning
associates_invalid_store,associates,3,warning
pos_invalid_store,pos,28,warning
pos_invalid_associate,pos,28,warning
pos_bad_timestamp,pos,4513,warning
lines_invalid_transaction,lines,0,pass
lines_invalid_product,lines,87,warning
lines_bad_values,lines,6433,warning
payments_invalid_transaction,payments,21,warning
online_invalid_customer,online,7,warning
online_invalid_store,online,3,warning
online_lines_invalid_order,online,0,pass
online_lines_invalid_product,online,17,warning
online_lines_bad_values,online,1897,warning
shipments_invalid_order,shipments,4,warning
returns_invalid_transaction,returns,4,warning
returns_invalid_line,returns,7,warning
inventory_invalid_store,inventory,0,pass
inventory_invalid_product,inventory,32,warning
inventory_bad_values,inventory,39,warning
