table_name,relative_path,row_count,column_count,duplicate_full_rows
customer_cdc,data/raw/cdc/customer_cdc.csv,220,7,0
price_cdc,data/raw/cdc/price_cdc.csv,150,7,0
inventory_adjustments,data/raw/inventory/inventory_adjustments.csv,800,7,0
inventory_snapshots,data/raw/inventory/inventory_snapshots.csv,20000,9,0
associates,data/raw/master/associates.csv,500,5,0
customers,data/raw/master/customers.csv,1801,10,1
products,data/raw/master/products.csv,601,12,1
promotions,data/raw/master/promotions.csv,60,8,0
stores,data/raw/master/stores.csv,25,9,0
suppliers,data/raw/master/suppliers.csv,80,8,0
calendar,data/raw/reference/calendar.csv,181,9,0
online_order_lines,data/raw/transactions/online_order_lines.csv,6638,8,0
online_orders,data/raw/transactions/online_orders.csv,2200,7,0
payments,data/raw/transactions/payments.csv,9454,5,0
pos_transaction_lines,data/raw/transactions/pos_transaction_lines.csv,31562,11,1
pos_transactions,data/raw/transactions/pos_transactions.csv,9001,10,1
returns,data/raw/transactions/returns.csv,600,10,0
shipments,data/raw/transactions/shipments.csv,750,7,0
